,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
394,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.19935989379882812, 0.4332239627838135]","[4.0, 4.0]","[0.21663379669189453, 0.4667019844055176]","[1.0, 1.0]",1.0,1.0,2.932050943374634,1630857543.128112,0,-1,1,-1,1.0,1.0,2,2,0,395,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]",1R,1R,6.0,10
395,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.08205509185791016, 0.4483480453491211]","[4.0, 4.0]","[0.08205509185791016, 0.5153570175170898]","[1.0, 1.0]",1.0,1.0,5.582504034042358,1630857547.778435,1,-1,0,-1,0.8,0.0,15,12,0,396,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]",1NR,1NR,7.0,11
396,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.48159170150756836, 0.9983198642730713]","[4.0, 1.0]","[0.5482847690582275, 0.9983198642730713]","[0.0, 0.0]",0.0,0.0,5.849730968475342,1630857555.361226,0,-1,1,-1,0.8,0.0,15,12,0,397,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[2, 1]","[2, 1]","[0, 0]",2NR,2NR,8.0,1
397,"[-1.0, 1.0]",-1.0,1.0,1.0,"[2.365386962890625, 0.19765090942382812]","[3.0, 1.0]","[3.4315879344940186, 0.2149817943572998]","[0.0, 1.0]",0.0,1.0,5.582965850830078,1630857565.894449,1,1,0,-1,0.7333333333333333,0.0,15,11,0,398,"[1, 0]","[1, 0]","[0, 0]","[1, 14]","[1, 0]","[0, 14]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",3NR,3NR,9.0,2
398,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 0.3476138114929199]","[1.0, 2.0]","[0.28218889236450195, 0.39845776557922363]","[1.0, 1.0]",1.0,1.0,5.850167036056519,1630857572.960903,0,1,1,1,0.6666666666666666,0.0,15,10,0,399,"[1, 0]","[0, 0]","[1, 0]","[1, 13]","[0, 0]","[1, 13]","[1, 0]","[0, 0]","[1, 0]","[1, 14]","[0, 14]","[1, 0]",1NRO,4NR,10.0,3
399,"[-1.0, 1.0]",-1.0,1.0,1.0,"[0.8499341011047363, 0.46660614013671875]","[1.0, 1.0]","[1.233255386352539, 0.46660614013671875]","[0.0, 1.0]",0.0,1.0,4.766236782073975,1630857580.8941052,0,-1,1,1,0.9090909090909092,1.0,11,10,0,400,"[1, 0]","[1, 0]","[0, 0]","[1, 12]","[1, 0]","[0, 12]","[0, 0]","[0, 0]","[0, 0]","[11, 13]","[0, 13]","[11, 0]",1R,1R,0.0,4
400,"[1.0, 1.0]",1.0,1.0,1.0,"[0.14780592918395996, 0.2989029884338379]","[4.0, 4.0]","[0.6150388717651367, 0.3473949432373047]","[1.0, 1.0]",1.0,1.0,5.849799871444702,1630857587.360627,0,1,1,1,0.8666666666666667,0.0,15,13,0,401,"[0, 0]","[0, 0]","[0, 0]","[10, 11]","[0, 0]","[10, 11]","[0, 0]","[0, 0]","[0, 0]","[10, 12]","[0, 12]","[10, 0]",1NR,1NR,1.0,5
401,"[1.0, 1.0]",1.0,1.0,1.0,"[0.033128976821899414, 0.11472487449645996]","[4.0, 3.0]","[0.34859180450439453, 0.26525402069091797]","[1.0, 1.0]",1.0,1.0,3.2829430103302,1630857594.6939409,0,1,1,1,0.75,1.0,4,3,0,402,"[0, 0]","[0, 0]","[0, 0]","[9, 10]","[0, 0]","[9, 10]","[0, 0]","[0, 0]","[0, 0]","[9, 11]","[0, 11]","[9, 0]",1R,1R,2.0,6
402,"[1.0, 1.0]",1.0,1.0,1.0,"[0.03353285789489746, 0.5659871101379395]","[4.0, 4.0]","[0.21512794494628906, 0.8159427642822266]","[1.0, 1.0]",1.0,1.0,3.499875068664551,1630857599.7438688,0,1,1,1,0.8,1.0,5,4,0,403,"[0, 0]","[0, 0]","[0, 0]","[8, 9]","[0, 0]","[8, 9]","[0, 0]","[0, 0]","[0, 0]","[8, 10]","[0, 10]","[8, 0]",1R,1R,3.0,7
403,"[1.0, 1.0]",1.0,1.0,1.0,"[0.1325817108154297, 0.36628293991088867]","[4.0, 4.0]","[0.2828397750854492, 0.36628293991088867]","[1.0, 1.0]",1.0,1.0,4.899435043334961,1630857604.3605812,1,1,0,1,0.6666666666666666,1.0,12,8,0,404,"[0, 0]","[0, 0]","[0, 0]","[7, 8]","[0, 0]","[7, 8]","[0, 0]","[0, 0]","[0, 0]","[7, 9]","[0, 9]","[7, 0]",1R,1R,4.0,8
404,"[1.0, 1.0]",1.0,1.0,1.0,"[0.3998250961303711, 0.36679601669311523]","[4.0, 4.0]","[0.3998250961303711, 0.36679601669311523]","[1.0, 1.0]",1.0,1.0,5.583074808120728,1630857610.4769762,1,1,0,1,0.4666666666666667,0.0,15,7,0,405,"[0, 0]","[0, 0]","[0, 0]","[6, 7]","[0, 0]","[6, 7]","[0, 0]","[0, 0]","[0, 0]","[6, 8]","[0, 8]","[6, 0]",1NR,1NR,5.0,9
405,"[1.0, 1.0]",1.0,1.0,1.0,"[0.0, 1.5489411354064941]","[4.0, 2.0]","[0.2490701675415039, 2.232518196105957]","[1.0, 1.0]",1.0,1.0,3.732069969177246,1630857619.41033,1,1,0,1,0.5,1.0,6,3,0,406,"[0, 0]","[0, 0]","[0, 0]","[5, 6]","[0, 0]","[5, 6]","[0, 0]","[0, 0]","[0, 0]","[5, 7]","[0, 7]","[5, 0]",1R,1R,6.0,10
406,"[1.0, 1.0]",1.0,1.0,1.0,"[0.2993800640106201, 0.2993800640106201]","[4.0, 4.0]","[0.2993800640106201, 0.2993800640106201]","[1.0, 1.0]",1.0,1.0,3.882883071899414,1630857624.576734,1,1,0,1,0.5714285714285714,1.0,7,4,0,407,"[0, 0]","[0, 0]","[0, 0]","[4, 5]","[0, 0]","[4, 5]","[0, 0]","[0, 0]","[0, 0]","[4, 6]","[0, 6]","[4, 0]",1R,1R,7.0,11
407,"[1.0, 1.0]",1.0,1.0,1.0,"[0.16469287872314453, 0.3652808666229248]","[4.0, 4.0]","[0.4320809841156006, 0.3652808666229248]","[1.0, 1.0]",1.0,1.0,5.582875728607178,1630857629.810166,1,1,0,1,0.6666666666666666,0.0,15,10,0,408,"[0, 0]","[0, 0]","[0, 0]","[3, 4]","[0, 0]","[3, 4]","[0, 0]","[0, 0]","[0, 0]","[3, 5]","[0, 5]","[3, 0]",1NR,1NR,8.0,12
408,"[1.0, 1.0]",1.0,1.0,1.0,"[0.515801191329956, 0.7492942810058594]","[3.0, 1.0]","[1.065500020980835, 0.7492942810058594]","[1.0, 1.0]",1.0,1.0,2.732512950897217,1630857637.543037,0,1,1,1,1.0,1.0,1,1,0,409,"[0, 0]","[0, 0]","[0, 0]","[2, 3]","[0, 0]","[2, 3]","[0, 0]","[0, 0]","[0, 0]","[2, 4]","[0, 4]","[2, 0]",1R,1R,9.0,13
409,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.36578893661499023, 0.465634822845459]","[4.0, 4.0]","[1.0990409851074219, 0.465634822845459]","[0.0, 0.0]",0.0,0.0,5.5828728675842285,1630857642.143193,1,1,0,1,0.7333333333333333,0.0,15,11,0,410,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]","[1, 0]","[0, 0]","[1, 0]","[1, 3]","[0, 3]","[1, 0]",1NR,1NR,10.0,1
410,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.0, 1.898712158203125]","[1.0, 1.0]","[0.465360164642334, 2.398743152618408]","[1.0, 0.0]",1.0,0.0,5.583091974258423,1630857651.042985,1,1,0,-1,0.6,0.0,15,9,0,411,"[1, 1]","[1, 0]","[0, 1]","[1, 1]","[1, 0]","[0, 1]","[1, 0]","[1, 0]","[0, 0]","[1, 2]","[1, 2]","[0, 0]",1NRO,2NR,11.0,2
411,"[1.0, -1.0]",1.0,-1.0,-1.0,"[0.30052733421325684, 1.4667909145355225]","[3.0, 1.0]","[0.7839212417602539, 1.4667909145355225]","[0.0, 1.0]",0.0,1.0,5.850003242492676,1630857658.6757498,0,1,1,-1,0.7333333333333333,0.0,15,11,0,412,"[0, 1]","[0, 1]","[0, 0]","[2, 1]","[0, 1]","[2, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]",2NRO,3NR,12.0,3
412,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.0, 0.0]","[3.0, 1.0]","[0.18138885498046875, 0.2814650535583496]","[0.0, 0.0]",0.0,0.0,5.849859952926636,1630857666.092534,0,1,1,1,0.6666666666666666,0.0,15,10,0,413,"[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",1NRG,4NR,13.0,4
413,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.13306403160095215, 0.24948716163635254]","[2.0, 1.0]","[0.39949584007263184, 0.24948716163635254]","[1.0, 1.0]",1.0,1.0,4.499590158462524,1630857673.275998,0,-1,1,-1,0.6,1.0,10,6,0,414,"[0, 0]","[0, 0]","[0, 0]","[11, 12]","[11, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 27]","[11, 0]","[0, 27]",1R,1R,0.0,5
414,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.017166852951049805, 0.16589069366455078]","[4.0, 4.0]","[0.3656330108642578, 0.2490849494934082]","[1.0, 1.0]",1.0,1.0,2.699795961380005,1630857679.342564,1,-1,0,-1,1.0,1.0,1,1,0,415,"[0, 0]","[0, 0]","[0, 0]","[10, 11]","[10, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 26]","[10, 0]","[0, 26]",1R,1R,1.0,6
415,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.13248991966247559]","[4.0, 4.0]","[0.2656409740447998, 0.2656409740447998]","[1.0, 1.0]",1.0,1.0,5.5829949378967285,1630857683.325823,1,-1,0,-1,0.6,0.0,15,9,0,416,"[0, 0]","[0, 0]","[0, 0]","[9, 10]","[9, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 25]","[9, 0]","[0, 25]",1NR,1NR,2.0,7
