,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
33,33,33,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093819.343623,108,6.899476051330566,0,1,1,1,0.15,0.7333333333333333,"[0.9820849895477295, 0.9991497993469238]",0.0,6.899476051330566,15,11,0,7.898626804351807,1NR,6.0,1.0
34,34,34,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093831.0263522,170,4.633275985717773,0,1,1,1,0.15,0.8,"[2.0338308811187744, 1.016657829284668]",1.0,4.633275985717773,5,4,0,5.633013963699341,1R,7.0,1.0
35,35,35,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1677093838.425591,117,5.515643119812012,0,1,1,1,0.15,0.6,"[1.1492772102355957, 1.0001792907714844]",1.0,5.515643119812012,10,6,0,6.5151121616363525,1R,8.0,1.0
36,36,36,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1677093848.126631,147,7.749402761459351,1,0,-1,1,0.0,0.6,"[1.64998197555542, 1.0667188167572021]",0.0,7.749402761459351,15,9,0,8.749505043029785,,,
37,37,37,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1677093859.925346,163,7.899497985839844,0,1,-1,1,0.15,0.7333333333333333,"[1.9166061878204346, 1.0003299713134766]",0.0,7.899497985839844,15,11,0,8.899420261383057,,,
38,38,38,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1677093874.024843,307,10.41566014289856,0,1,-1,1,0.15,0.7333333333333333,"[4.316357135772705, 1.2504992485046387]",0.0,10.41566014289856,15,11,0,11.41529130935669,,,
39,39,39,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1677093885.955729,163,7.916057825088501,0,1,1,1,0.0,0.9333333333333332,"[1.9162068367004395, 1.0164368152618408]",0.0,7.916057825088501,15,14,0,8.915952920913696,,,
40,40,40,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1677093898.3726962,206,4.882827997207642,1,0,-1,1,0.15,0.75,"[2.6329171657562256, 1.0163562297821045]",1.0,4.882827997207642,4,3,0,5.8823401927948,1R,0.0,1.0
41,41,41,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093905.287667,108,3.5833070278167725,1,0,-1,-1,0.15,0.6,"[0.9997131824493408, 0.9997131824493408]",1.0,3.5833070278167725,5,3,0,4.583806991577148,1R,1.0,1.0
42,42,42,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1677093912.9716969,139,3.766352891921997,1,0,-1,-1,0.15,0.75,"[1.516172170639038, 0.9995930194854736]",1.0,3.766352891921997,4,3,0,4.765408039093018,1R,2.0,1.0
