,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
176,"[1.0, 1.0]",1.0,1.0,-1.0,"[0.18271517753601074, 1.732518196105957]","[1.0, 1.0]","[0.36615896224975586, 2.0158650875091553]","[0.0, 0.0]",0.0,0.0,5.850062131881714,1634401382.040405,0,1,1,1,0.6,0.0,15,9,0,177,"[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]","[1, 0]","[0, 0]","[1, 0]","[1, 2]","[0, 0]","[1, 2]",1NRO,9NR,25.0,2
177,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.21473407745361328, 1.5484809875488281]","[1.0, 1.0]","[0.3150980472564697, 1.9985477924346924]","[1.0, 0.0]",1.0,0.0,5.849663972854614,1634401391.1237729,0,-1,1,1,0.6,0.0,15,9,0,178,"[0, 1]","[0, 0]","[0, 1]","[11, 1]","[11, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",2NRO,9NR,26.0,3
178,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.36594676971435547]","[1.0, 1.0]","[0.23242688179016113, 0.6659538745880127]","[1.0, 1.0]",1.0,1.0,2.882949113845825,1634401398.89046,1,-1,0,-1,1.0,1.0,2,2,0,179,"[0, 0]","[0, 0]","[0, 0]","[10, 7]","[10, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 7]","[10, 7]","[0, 0]",1R,1R,27.0,4
179,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.448535680770874, 0.1651906967163086]","[4.0, 4.0]","[2.314652919769287, 1.5320079326629639]","[1.0, 1.0]",1.0,1.0,5.849246978759766,1634401405.12317,0,-1,1,-1,0.4666666666666667,0.0,15,7,0,180,"[0, 0]","[0, 0]","[0, 0]","[9, 6]","[9, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 6]","[9, 6]","[0, 0]",1NR,1NR,28.0,5
180,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.23321866989135742, 0.41675782203674316]","[3.0, 1.0]","[0.38332486152648926, 0.8166117668151855]","[1.0, 1.0]",1.0,1.0,3.732774019241333,1634401412.723548,0,-1,1,-1,1.0,1.0,6,6,0,181,"[0, 0]","[0, 0]","[0, 0]","[8, 5]","[8, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 5]","[8, 5]","[0, 0]",1R,1R,29.0,6
181,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.04909014701843262, 0.21619892120361328]","[3.0, 3.0]","[0.2658402919769287, 0.5824761390686035]","[1.0, 1.0]",1.0,1.0,3.482919931411743,1634401418.073472,1,-1,0,-1,0.8,1.0,5,4,0,182,"[0, 0]","[0, 0]","[0, 0]","[7, 4]","[7, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 4]","[7, 4]","[0, 0]",1R,1R,30.0,7
182,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.2482008934020996]","[3.0, 3.0]","[0.21420598030090332, 0.6649179458618164]","[1.0, 1.0]",1.0,1.0,4.483169078826904,1634401423.2400188,1,-1,0,-1,0.7,1.0,10,7,0,183,"[0, 0]","[0, 0]","[0, 0]","[6, 3]","[6, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 3]","[6, 3]","[0, 0]",1R,1R,31.0,8
183,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.0, 0.3658907413482666]","[2.0, 3.0]","[0.18249964714050293, 0.6326546669006348]","[1.0, 1.0]",1.0,1.0,3.682770967483521,1634401429.306815,0,-1,1,-1,1.0,1.0,6,6,0,184,"[0, 0]","[0, 0]","[0, 0]","[5, 2]","[5, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 2]","[5, 2]","[0, 0]",1R,1R,32.0,9
184,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.21564817428588867, 0.5661630630493164]","[2.0, 3.0]","[0.41612982749938965, 0.8661940097808838]","[1.0, 1.0]",1.0,1.0,5.849545955657959,1634401434.606647,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,185,"[0, 1]","[0, 1]","[0, 0]","[4, 1]","[4, 1]","[0, 0]","[0, 1]","[0, 1]","[0, 0]","[4, 1]","[4, 1]","[0, 0]",1NR,1NR,33.0,10
185,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.016537189483642578, 0.5819180011749268]","[2.0, 1.0]","[0.2492811679840088, 2.8659892082214355]","[1.0, 0.0]",1.0,0.0,5.499656915664673,1634401444.2065752,1,1,0,-1,0.5333333333333333,1.0,15,8,0,186,"[0, 1]","[0, 0]","[0, 1]","[3, 1]","[3, 0]","[0, 1]","[0, 0]","[0, 0]","[0, 0]","[3, 3]","[3, 3]","[0, 0]",1R,1R,34.0,11
