,Outcome,Performance,Effort,Difficulty,1back-Performance,1back-Effort,1back-Difficulty,Switches,Condition,1back-Condition,Corrects,Confidence,Prev_confidence,Pos_in_block,Player,Session
61,1R,10.0,0.28517499999999985,0.6843967989,3.0,0.31789999999999985,0.7639597407,0.0,Actor,Actor,1.0,4.0,4.0,4.0,SC,session1
62,1R,3.0,0.16362500000000002,0.5448233773,10.0,0.28517499999999985,0.6843967989,0.0,Actor,Actor,1.0,4.0,4.0,5.0,SC,session1
63,1R,2.0,0.1963499999999999,1.3601108545000002,3.0,0.16362500000000002,0.5448233773,0.0,Actor,Actor,1.0,4.0,4.0,6.0,SC,session1
64,1R,3.0,0.23375,1.8075044383,2.0,0.1963499999999999,1.3601108545000002,0.0,Observer,Actor,1.0,4.0,4.0,7.0,SC,session1
65,1R,9.0,0.5282749999999996,1.3033013398,3.0,0.23375,1.8075044383,0.0,Actor,Observer,1.0,4.0,4.0,8.0,SC,session1
66,1R,9.0,0.509575,1.7304338547,14.0,0.780725,0.6229709154999999,0.0,Observer,Observer,1.0,4.0,2.0,0.0,SC,session1
67,1R,3.0,0.19635,1.5342547503000001,9.0,0.509575,1.7304338547,0.0,Actor,Observer,1.0,4.0,4.0,1.0,SC,session1
68,1R,7.0,0.71995,0.8169108465999999,9.0,0.43477499999999997,1.6937435121,0.0,Actor,Actor,1.0,4.0,2.0,4.0,SC,session1
69,1R,11.0,0.5329499999999999,0.7126641013000001,7.0,0.71995,0.8169108465999999,0.0,Actor,Actor,1.0,4.0,4.0,5.0,SC,session1
70,1R,7.0,0.6358,1.1934462553,11.0,0.5329499999999999,0.7126641013000001,0.0,Observer,Actor,1.0,4.0,4.0,6.0,SC,session1
71,1R,4.0,0.1122,0.3962467273,7.0,0.6358,1.1934462553,0.0,Actor,Observer,1.0,4.0,4.0,7.0,SC,session1
72,1R,8.0,0.43945000000000006,0.8505992150999999,4.0,0.1122,0.3962467273,0.0,Actor,Actor,0.0,4.0,4.0,8.0,SC,session1
73,1R,1.0,0.07012499999999999,0.8533799155999999,10.0,0.6358,1.7177484159999998,0.0,Observer,Actor-incongruent,1.0,4.0,2.0,0.0,SC,session1
74,1R,5.0,0.3506250000000001,0.9086531999999998,1.0,0.07012499999999999,0.8533799155999999,0.0,Actor,Observer,1.0,4.0,4.0,1.0,SC,session1
75,1R,8.0,0.6404750000000002,1.7598877242999997,5.0,0.3506250000000001,0.9086531999999998,0.0,Observer,Actor,1.0,4.0,4.0,2.0,SC,session1
76,1R,3.0,0.08882500000000004,1.9556749111000002,8.0,0.6404750000000002,1.7598877242999997,0.0,Actor,Observer,1.0,4.0,4.0,3.0,SC,session1
77,1R,8.0,0.6451500000000002,1.5298772073,11.0,0.9537,0.9893295347,0.0,Observer,Observer,0.0,4.0,1.0,8.0,SC,session1
78,1R,4.0,0.20570000000000005,1.3806035326,10.0,0.7199499999999998,1.2131102775000002,0.0,Observer,Actor-incongruent,1.0,4.0,1.0,0.0,SC,session1
79,1R,3.0,0.060774999999999996,2.0326705591,4.0,0.20570000000000005,1.3806035326,0.0,Actor,Observer,1.0,4.0,4.0,1.0,SC,session1
80,1R,8.0,0.5048999999999999,1.3900254805,15.0,0.556325,0.3491204214,0.0,Actor-incongruent,Observer,1.0,4.0,2.0,5.0,SC,session1
81,1R,5.0,0.22440000000000002,1.3096582585,9.0,0.6731999999999999,1.1895732468000002,0.0,Actor,Actor,0.0,4.0,3.0,7.0,SC,session1
82,1R,12.0,0.7509380274999998,0.6821436695999998,12.0,0.799425,0.9123808651000004,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,SC,session1
83,1R,5.0,0.2805000000000001,0.5793340247000002,12.0,0.7509380274999998,0.6821436695999998,0.0,Actor,Observer-incongruent,1.0,4.0,4.0,1.0,SC,session1
84,1R,2.0,0.13090000000000002,0.8118971806999999,11.0,0.8134499999999998,1.0529644239999998,0.0,Observer-incongruent,Observer,1.0,4.0,1.0,3.0,SC,session1
85,1R,7.0,0.6124249999999999,0.8406037864,2.0,0.13090000000000002,0.8118971806999999,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,4.0,SC,session1
86,1R,1.0,0.14492499999999997,0.9766028960000002,7.0,0.6124249999999999,0.8406037864,0.0,Observer,Observer,1.0,4.0,4.0,5.0,SC,session1
87,1R,6.0,0.43945000000000023,1.22670522,1.0,0.14492499999999997,0.9766028960000002,0.0,Observer,Observer,1.0,4.0,4.0,6.0,SC,session1
88,1R,7.0,0.43945000000000023,0.6742540673999997,8.0,0.9349999999999998,1.0114557875999999,0.0,Actor,Observer,1.0,4.0,3.0,8.0,SC,session1
89,1R,3.0,0.0748000000000002,0.49977911659999996,7.0,0.43945000000000023,0.6742540673999997,0.0,Actor,Actor,0.0,4.0,4.0,9.0,SC,session1
90,1R,3.0,0.11220000000000002,0.6011735843000001,13.0,0.892925,0.5811032772999999,0.0,Actor,Observer,1.0,4.0,2.0,0.0,SC,session1
91,1R,1.0,0.0,1.0164426747000002,7.0,0.874225,2.0947734592,0.0,Actor,Observer,1.0,4.0,2.0,3.0,SC,session1
92,1R,3.0,0.24777500000000002,0.7686748142,1.0,0.0,1.0164426747000002,0.0,Observer,Actor,1.0,4.0,4.0,4.0,SC,session1
93,1R,3.0,0.26647500000000013,0.8338209812,3.0,0.24777500000000002,0.7686748142,0.0,Observer,Observer,1.0,4.0,4.0,5.0,SC,session1
94,1R,7.0,0.4441250000000001,0.8406338153999999,3.0,0.26647500000000013,0.8338209812,0.0,Actor,Observer,1.0,4.0,4.0,6.0,SC,session1
95,1R,1.0,0.08882500000000002,0.8798152101000001,7.0,0.4441250000000001,0.8406338153999999,0.0,Observer,Actor,1.0,4.0,4.0,7.0,SC,session1
96,1R,8.0,0.5937249999999998,1.4546307974,8.0,0.9162999999999999,1.3586288833,0.0,Actor,Actor,0.0,4.0,3.0,9.0,SC,session1
97,1R,4.0,0.3038750000000001,1.1635678105999998,11.0,0.7480000000000001,0.8911358821,0.0,Actor,Actor-incongruent,1.0,4.0,2.0,0.0,SC,session1
98,1R,7.0,0.2337499999999999,0.8351010583,4.0,0.3038750000000001,1.1635678105999998,0.0,Actor,Actor,1.0,4.0,4.0,1.0,SC,session1
99,1R,3.0,0.2805000000000002,1.3848076429999998,7.0,0.2337499999999999,0.8351010583,0.0,Observer,Actor,1.0,4.0,4.0,2.0,SC,session1
100,1R,1.0,0.14024999999999999,1.1468954792000003,9.0,0.8415000000000004,0.9488080549,0.0,Observer,Actor,1.0,4.0,3.0,5.0,SC,session1
101,1R,11.0,0.70125,0.6688157512000003,1.0,0.14024999999999999,1.1468954792000003,0.0,Actor,Observer,1.0,4.0,4.0,6.0,SC,session1
102,1R,8.0,0.43010000000000004,1.0483201688000001,11.0,0.9677250000000004,1.1137362855,0.0,Actor,Observer,1.0,4.0,3.0,8.0,SC,session1
103,1R,3.0,0.38802499999999995,1.4140268591000003,8.0,0.43010000000000004,1.0483201688000001,0.0,Actor,Actor,1.0,4.0,4.0,9.0,SC,session1
104,1R,9.0,0.715275,2.1067498427999993,3.0,0.38802499999999995,1.4140268591000003,0.0,Observer,Actor,0.0,4.0,4.0,10.0,SC,session1
105,1R,5.0,0.3132249999999999,0.7780481416,9.0,0.6451500000000002,1.4057697803,0.0,Actor-incongruent,Actor,1.0,4.0,1.0,0.0,SC,session1
106,1R,5.0,0.4067249999999999,1.0871450628000001,5.0,0.3132249999999999,0.7780481416,0.0,Observer,Actor-incongruent,1.0,4.0,4.0,1.0,SC,session1
107,1R,12.0,0.7292999999999998,0.8485119186,5.0,0.4067249999999999,1.0871450628000001,0.0,Observer,Observer,1.0,4.0,4.0,2.0,SC,session1
108,1R,2.0,0.19635000000000002,0.8373157212,12.0,0.7292999999999998,0.8485119186,0.0,Actor,Observer,1.0,4.0,4.0,3.0,SC,session1
109,1R,7.0,0.17765,0.5086588277,2.0,0.19635000000000002,0.8373157212,0.0,Actor,Actor,1.0,4.0,4.0,4.0,SC,session1
110,1R,1.0,0.0,1.5245323276999996,7.0,0.17765,0.5086588277,0.0,Observer,Actor,1.0,4.0,4.0,5.0,SC,session1
111,1R,3.0,0.10752500000000004,0.9067530785000002,1.0,0.0,1.5245323276999996,0.0,Actor,Observer,1.0,4.0,4.0,6.0,SC,session1
112,1R,2.0,0.24777500000000002,0.9296776014000001,3.0,0.10752500000000004,0.9067530785000002,0.0,Actor,Actor,1.0,4.0,4.0,7.0,SC,session1
113,1R,6.0,0.266475,1.3597595097000001,2.0,0.24777500000000002,0.9296776014000001,0.0,Actor,Actor,1.0,4.0,4.0,8.0,SC,session1
114,1R,4.0,0.17764999999999997,1.1778306734000004,10.0,0.6965750000000002,1.1546940249,0.0,Actor,Observer-incongruent,1.0,4.0,2.0,0.0,SC,session1
115,1R,4.0,0.7106,1.9321908171000004,4.0,0.17764999999999997,1.1778306734000004,0.0,Observer,Actor,1.0,4.0,4.0,1.0,SC,session1
116,1R,12.0,0.7246250000000004,1.063119622,4.0,0.7106,1.9321908171000004,0.0,Observer,Observer,1.0,4.0,4.0,2.0,SC,session1
117,1R,6.0,0.5236000000000002,1.1451436882000001,12.0,0.7246250000000004,1.063119622,0.0,Actor,Observer,1.0,4.0,4.0,3.0,SC,session1
118,1R,7.0,0.32257500000000017,1.4201624925,6.0,0.5236000000000002,1.1451436882000001,0.0,Actor,Actor,1.0,4.0,4.0,4.0,SC,session1
119,1R,1.0,0.018699999999999828,0.7526975193000002,12.0,0.5656750000000001,0.6396534334,0.0,Observer,Actor,0.0,4.0,2.0,7.0,SC,session1
120,1R,6.0,0.48619999999999997,0.7496637278,12.0,0.90695,1.2549306366000001,0.0,Observer-incongruent,Actor,1.0,4.0,2.0,0.0,SC,session1
121,1R,9.0,0.38334999999999997,0.9225142086,6.0,0.48619999999999997,0.7496637278,0.0,Observer,Observer-incongruent,1.0,4.0,4.0,1.0,SC,session1
122,1R,2.0,0.3880250000000001,2.2205063741,9.0,0.38334999999999997,0.9225142086,0.0,Observer,Observer,1.0,4.0,4.0,2.0,SC,session1
123,1R,6.0,0.416075,0.8803077653000001,2.0,0.3880250000000001,2.2205063741,0.0,Observer,Observer,1.0,4.0,4.0,3.0,SC,session1
124,1R,4.0,0.30387499999999995,0.979857188,6.0,0.416075,0.8803077653000001,0.0,Actor,Observer,1.0,4.0,4.0,4.0,SC,session1
125,1R,4.0,0.35997499999999993,1.4453349448,4.0,0.30387499999999995,0.979857188,0.0,Observer,Actor,1.0,4.0,4.0,5.0,SC,session1
126,1R,8.0,0.3365999999999999,0.7168890669999999,10.0,0.8508499999999999,0.8895088867000001,0.0,Actor,Actor,1.0,4.0,3.0,7.0,SC,session1
127,1R,4.0,0.36932500000000024,0.8589899052999999,8.0,0.3365999999999999,0.7168890669999999,0.0,Observer,Actor,1.0,4.0,4.0,8.0,SC,session1
128,1R,3.0,0.266475,0.8351704469000001,4.0,0.36932500000000024,0.8589899052999999,0.0,Actor,Observer,1.0,4.0,4.0,9.0,SC,session1
129,1R,3.0,0.35530000000000006,1.5380835414000003,3.0,0.266475,0.8351704469000001,0.0,Actor,Actor,1.0,4.0,4.0,10.0,SC,session1
130,1R,3.0,0.28517500000000007,1.7110101377999998,9.0,0.827475,1.4641810071,0.0,Observer,Actor,1.0,4.0,3.0,12.0,SC,session1
131,1R,1.0,0.10752500000000015,0.9916827386999997,3.0,0.28517500000000007,1.7110101377999998,0.0,Actor,Observer,0.0,4.0,4.0,13.0,SC,session1
132,1R,1.0,0.14959999999999984,1.3060081174000004,14.0,0.5609999999999999,0.6070341011,0.0,Observer,Actor,1.0,4.0,1.0,0.0,SC,session1
133,1R,1.0,0.07480000000000009,1.043377098,1.0,0.14959999999999984,1.3060081174000004,0.0,Observer,Observer,0.0,4.0,4.0,1.0,SC,session1
134,1R,2.0,0.20102499999999998,1.1572676513000004,12.0,0.9116250000000004,1.1213963345000002,0.0,Observer,Observer-incongruent,1.0,4.0,1.0,0.0,SC,session1
135,1R,1.0,0.1542750000000001,0.8659203144000001,2.0,0.20102499999999998,1.1572676513000004,0.0,Actor,Observer,1.0,4.0,4.0,1.0,SC,session1
136,1R,2.0,0.2618,0.8387418154000001,1.0,0.1542750000000001,0.8659203144000001,0.0,Observer,Actor,1.0,4.0,4.0,2.0,SC,session1
137,1R,2.0,0.07012500000000002,0.7454561868000001,12.0,0.9022749999999999,0.9448749499000001,0.0,Observer,Observer,1.0,3.0,3.0,4.0,SC,session1
138,1R,6.0,0.36465000000000003,1.6978284662000003,2.0,0.07012500000000002,0.7454561868000001,0.0,Actor,Observer,1.0,4.0,3.0,5.0,SC,session1
139,1R,11.0,0.6872249999999998,0.6373606657000002,13.0,0.9490250000000002,0.7871554516999999,0.0,Observer-incongruent,Observer,1.0,4.0,2.0,0.0,SC,session1
140,1R,4.0,0.39269999999999994,0.9324775594000001,8.0,0.9817499999999998,1.8963095893999997,0.0,Observer,Observer,1.0,4.0,3.0,2.0,SC,session1
141,1R,9.0,0.5282750000000002,0.9398888605000001,4.0,0.39269999999999994,0.9324775594000001,0.0,Observer,Observer,1.0,4.0,4.0,3.0,SC,session1
142,1R,4.0,0.2711500000000002,0.8286981540000004,9.0,0.5282750000000002,0.9398888605000001,0.0,Observer,Observer,1.0,4.0,4.0,4.0,SC,session1
143,1R,2.0,0.28984999999999994,0.8947094218999998,11.0,0.827475,1.107494967,0.0,Actor,Actor,1.0,4.0,3.0,6.0,SC,session1
144,1R,6.0,0.24309999999999998,1.3643524583,2.0,0.28984999999999994,0.8947094218999998,0.0,Actor,Actor,1.0,4.0,4.0,7.0,SC,session1
145,1R,1.0,0.12622499999999992,1.4875694380000004,6.0,0.24309999999999998,1.3643524583,0.0,Observer,Actor,1.0,4.0,4.0,8.0,SC,session1
146,1R,8.0,0.5656750000000001,0.9365604165000001,12.0,0.9022750000000004,0.8467156097999999,0.0,Actor-incongruent,Observer,1.0,4.0,2.0,11.0,SC,session1
147,1R,3.0,0.2103750000000003,1.3912035275999999,8.0,0.5656750000000001,0.9365604165000001,0.0,Actor,Actor-incongruent,0.0,4.0,4.0,12.0,SC,session1
148,1R,5.0,0.27114999999999995,0.6521815735,10.0,0.8087750000000005,1.0764132615000004,0.0,Observer,Actor-incongruent,1.0,4.0,2.0,0.0,SC,session1
149,1R,6.0,0.5142500000000001,0.8591552733,8.0,0.5329500000000001,1.4397828818000002,0.0,Actor,Actor,1.0,4.0,3.0,2.0,SC,session1
150,1R,10.0,0.83215,1.8363619061,6.0,0.5142500000000001,0.8591552733,0.0,Observer,Actor,1.0,4.0,4.0,3.0,SC,session1
151,1R,8.0,0.36465,0.9350510902000001,10.0,0.83215,1.8363619061,0.0,Actor,Observer,1.0,4.0,4.0,4.0,SC,session1
152,1R,5.0,0.22907500000000003,1.3517195037999998,8.0,0.36465,0.9350510902000001,0.0,Actor,Actor,1.0,4.0,4.0,5.0,SC,session1
153,1R,4.0,0.20102499999999998,1.0241485316,5.0,0.22907500000000003,1.3517195037999998,0.0,Actor,Actor,1.0,4.0,4.0,6.0,SC,session1
154,1R,2.0,0.0046750000000000125,0.8108617914000001,4.0,0.20102499999999998,1.0241485316,0.0,Actor,Actor,1.0,4.0,4.0,7.0,SC,session1
155,1R,11.0,0.4067250000000001,0.593682069,11.0,0.85085,0.6482221752000001,0.0,Actor-incongruent,Observer,1.0,4.0,2.0,0.0,SC,session1
156,1R,9.0,0.6013204806,0.8220360955,7.0,0.7713749999999997,1.6129434917000005,0.0,Observer,Actor,1.0,4.0,3.0,2.0,SC,session1
157,1R,2.0,0.03739999999999999,1.3917674495000003,9.0,0.6013204806,0.8220360955,0.0,Actor,Observer,1.0,4.0,4.0,3.0,SC,session1
158,1R,7.0,0.6077500000000001,1.2817596874,2.0,0.03739999999999999,1.3917674495000003,0.0,Observer,Actor,1.0,4.0,4.0,4.0,SC,session1
159,1R,2.0,0.11220000000000005,1.1788731157000003,13.0,0.4581500000000004,0.6605531125000002,0.0,Actor,Actor-incongruent,1.0,4.0,1.0,0.0,SC,session1
160,1R,8.0,0.7059249999999999,1.7619198242,11.0,0.8321500000000001,0.5901576530000001,0.0,Actor,Observer,1.0,4.0,3.0,2.0,SC,session1
