,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
270,1R,Low,1.0,1.0,0.0,0.0,self,0.9833371639251709,1.0,4.0,385.0,Lalo,20230403
271,1R,Low,1.0,1.0,0.0,0.0,self,1.0996861457824707,1.0,5.0,386.0,Lalo,20230403
272,1R,Low,2.0,2.0,0.0,0.0,self,0.9995970726013184,1.0,0.0,393.0,Lalo,20230403
273,1R,Low,3.0,3.0,0.0,0.0,self,0.9832940101623535,1.0,1.0,394.0,Lalo,20230403
274,1R,Low,7.0,7.0,0.0,0.0,self,1.0654401779174805,1.0,2.0,395.0,Lalo,20230403
275,1R,Low,3.0,3.0,0.0,0.0,self,0.9829788208007812,1.0,3.0,396.0,Lalo,20230403
276,1R,Low,3.0,3.0,0.0,0.0,self,0.9997799396514893,1.0,4.0,397.0,Lalo,20230403
277,1R,Low,1.0,1.0,0.0,0.0,self,0.9828228950500488,1.0,5.0,398.0,Lalo,20230403
278,1R,Low,6.0,6.0,0.0,0.0,self,0.9829351902008057,1.0,6.0,399.0,Lalo,20230403
279,1R,Low,3.0,3.0,0.0,0.0,self,0.9833168983459473,1.0,7.0,400.0,Lalo,20230403
280,1R,Low,6.0,6.0,0.0,1.0,self,1.0672619342803955,-1.0,9.0,402.0,Lalo,20230403
281,1R,Low,1.0,1.0,0.0,0.0,self,1.0330238342285156,1.0,0.0,405.0,Lalo,20230403
282,1R,Low,1.0,1.0,0.0,0.0,self,0.9830029010772705,1.0,1.0,406.0,Lalo,20230403
283,1R,Med,9.0,9.0,0.0,0.0,self,0.9998860359191895,1.0,2.0,407.0,Lalo,20230403
284,1R,Low,4.0,4.0,0.0,0.0,self,0.9824192523956299,1.0,3.0,408.0,Lalo,20230403
285,1R,Low,5.0,5.0,0.0,0.0,self,1.149702787399292,1.0,4.0,409.0,Lalo,20230403
286,1R,Med,10.0,10.0,0.0,0.0,self,1.315873146057129,1.0,6.0,411.0,Lalo,20230403
287,1R,Low,5.0,5.0,0.0,0.0,self,1.016603708267212,1.0,7.0,412.0,Lalo,20230403
288,1R,Low,5.0,5.0,0.0,1.0,self,1.033263921737671,-1.0,8.0,413.0,Lalo,20230403
289,1R,Low,5.0,5.0,0.0,0.0,self,0.9833240509033203,1.0,0.0,420.0,Lalo,20230403
290,1R,Med,9.0,9.0,0.0,0.0,self,1.2497632503509521,1.0,1.0,421.0,Lalo,20230403
291,1R,Med,10.0,10.0,0.0,0.0,self,1.1332612037658691,1.0,2.0,422.0,Lalo,20230403
292,1R,Low,4.0,4.0,0.0,0.0,self,1.082866907119751,1.0,3.0,423.0,Lalo,20230403
293,1R,Low,1.0,1.0,0.0,0.0,self,1.0497961044311523,1.0,4.0,424.0,Lalo,20230403
294,1R,Low,1.0,1.0,0.0,0.0,self,0.9834141731262207,1.0,5.0,425.0,Lalo,20230403
295,1R,Low,2.0,2.0,0.0,0.0,self,1.0331480503082275,1.0,6.0,426.0,Lalo,20230403
296,1R,Low,7.0,7.0,0.0,1.0,self,1.0505130290985107,-1.0,7.0,427.0,Lalo,20230403
297,1R,Low,2.0,2.0,0.0,0.0,self,1.016106128692627,1.0,0.0,430.0,Lalo,20230403
298,1R,Low,1.0,1.0,0.0,0.0,self,1.0837256908416748,1.0,2.0,432.0,Lalo,20230403
299,1R,Low,2.0,2.0,0.0,0.0,self,1.0166549682617188,1.0,3.0,433.0,Lalo,20230403
300,1R,Low,7.0,7.0,0.0,0.0,self,1.033815860748291,1.0,4.0,434.0,Lalo,20230403
301,1R,Low,1.0,1.0,0.0,0.0,self,1.1151721477508545,1.0,5.0,435.0,Lalo,20230403
302,1R,Low,5.0,5.0,0.0,0.0,self,1.2655448913574219,1.0,6.0,436.0,Lalo,20230403
303,1R,Low,1.0,1.0,0.0,0.0,self,1.0163288116455078,1.0,7.0,437.0,Lalo,20230403
304,1R,Low,6.0,6.0,0.0,0.0,self,1.0328080654144287,1.0,8.0,438.0,Lalo,20230403
