,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,other,player,player_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
62,62,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865229.425345,109,1,0,1,0.0,0.8666666666666667,0.7340800762176514,0.0,15,13,0,7.116466045379639
63,63,[1.0],1.0,0.0,-1.0,-1.0,0.0,[-1.0],1651865237.508173,109,1,0,1,0.0,0.6,0.7340092658996582,0.0,15,9,0,7.099611043930054
64,64,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865245.557745,107,1,0,-1,0.15,0.6,0.7333869934082031,0.0,15,9,0,7.066474676132202
65,65,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865253.657872,109,1,0,-1,0.15,0.5833333333333334,0.7334458827972412,1.0,12,7,0,5.9495849609375
66,66,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865260.3904629,107,1,0,-1,0.15,0.6666666666666666,0.7330570220947266,1.0,3,2,0,2.8825249671936035
67,67,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865264.006561,108,1,0,-1,0.15,0.7333333333333333,0.7328839302062988,0.0,15,11,0,7.082802057266235
68,68,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865272.056103,107,1,0,-1,0.15,0.5,0.7334058284759521,1.0,6,3,0,3.8997907638549805
69,69,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865276.68902,106,1,0,-1,0.15,0.42857142857142855,0.7334349155426025,1.0,7,3,0,4.216036319732666
70,70,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865281.6719291,106,1,0,-1,0.15,0.5714285714285714,0.7333700656890869,1.0,7,4,0,4.316020965576172
71,71,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865286.7548978,106,1,0,-1,0.15,0.8333333333333334,0.7339730262756348,1.0,12,10,0,5.8665430545806885
72,72,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865293.838063,129,1,0,-1,0.15,0.8333333333333334,0.7322461605072021,1.0,6,5,0,4.382221221923828
73,73,[-1.0],-1.0,0.0,-1.0,1.0,0.0,[1.0],1651865298.804267,118,1,0,-1,0.15,0.875,0.7327919006347656,1.0,8,7,0,4.749371767044067
74,74,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865304.137248,106,1,0,-1,0.0,0.7333333333333333,0.733856201171875,0.0,15,11,0,7.049680948257446
75,75,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865312.186151,108,1,0,1,0.15,0.5,0.7326557636260986,1.0,2,1,0,2.599604845046997
76,76,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865315.869644,131,1,0,1,0.15,1.0,0.7330951690673828,1.0,1,1,0,2.6662261486053467
77,77,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865319.052694,119,1,0,1,0.15,1.0,0.7325479984283447,1.0,2,2,0,2.7498459815979004
78,78,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865322.552791,121,1,0,1,0.15,1.0,0.7337491512298584,1.0,1,1,0,2.5337491035461426
79,79,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865325.819687,123,1,0,1,0.15,1.0,0.733436107635498,1.0,2,2,0,2.8332200050354004
80,80,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865329.101824,107,1,0,1,0.15,1.0,0.7335522174835205,1.0,2,2,0,2.6169302463531494
81,81,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865332.55173,115,1,0,1,0.15,0.9230769230769231,0.7333860397338867,1.0,13,12,0,6.350740909576416
82,82,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865339.668063,110,1,0,1,0.15,1.0,0.7336850166320801,1.0,2,2,0,2.6002519130706787
83,83,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865342.9843578,111,1,0,1,0.15,0.8666666666666667,0.7335448265075684,0.0,15,13,0,7.132975816726685
84,84,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865351.067551,108,1,0,1,0.15,0.5714285714285714,0.733720064163208,1.0,7,4,0,4.266556024551392
85,85,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865356.217432,116,1,0,1,0.15,0.6666666666666666,0.7335021495819092,0.0,15,10,0,7.215780973434448
86,86,[1.0],1.0,0.0,1.0,1.0,0.0,[1.0],1651865364.499458,121,1,0,1,0.15,0.6,0.7336370944976807,0.0,15,9,0,7.299508094787598
87,87,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865372.565451,108,1,0,-1,0.0,0.9333333333333333,0.7328619956970215,0.0,15,14,0,7.098566055297852
88,88,[-1.0],-1.0,0.0,1.0,-1.0,0.0,[-1.0],1651865380.6148732,106,1,0,-1,0.0,0.6666666666666666,0.7333049774169922,0.0,15,10,0,7.049309968948364
