,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
32,32,32,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471339.272749,168,8.099437952041626,1,0,1,0,0.0,0.7333333333333333,[1.9993488788604736],0.0,8.099437952041626,15,11,0,8.29903507232666,,,
33,33,33,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471347.689695,107,7.082628011703491,1,0,1,0,0.0,0.6666666666666666,[0.9833109378814697],0.0,7.082628011703491,15,10,0,7.282597064971924,,,
34,34,34,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471356.138141,111,7.165797233581543,1,0,1,0,0.0,0.6666666666666666,[1.0494611263275146],0.0,7.165797233581543,15,10,0,7.365649223327637,,,
35,35,35,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471364.8544052,126,7.399201154708862,1,0,-1,0,0.15,0.6,[1.2996580600738525],0.0,7.399201154708862,15,9,0,7.599463939666748,,,
36,36,36,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471373.537187,124,7.366479158401489,1,0,-1,0,0.15,0.8,[1.2666878700256348],0.0,7.366479158401489,15,12,0,7.565752029418945,,,
37,37,37,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471382.203125,123,4.183332204818726,1,0,-1,0,0.15,0.8333333333333334,[1.2497971057891846],1.0,4.183332204818726,6,5,0,4.38313102722168,1R,9.0,1.0
38,38,38,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471387.302912,110,7.132069826126099,1,0,1,0,0.0,0.7333333333333333,[1.0326788425445557],0.0,7.132069826126099,15,11,0,7.331951856613159,,,
39,39,39,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471395.68548,107,7.082771062850952,1,0,1,0,0.0,0.8,[0.9829709529876709],0.0,7.082771062850952,15,12,0,7.282501935958862,,,
40,40,40,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471404.201552,115,7.232302188873291,1,0,-1,0,0.15,0.6666666666666666,[1.1164169311523438],0.0,7.232302188873291,15,10,0,7.432549953460693,,,
41,41,41,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471412.684778,112,7.166439294815064,1,0,1,0,0.0,0.8,[1.0675280094146729],0.0,7.166439294815064,15,12,0,7.366228103637695,,,
42,42,42,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1664471421.268576,119,7.283237934112549,1,0,1,0,0.0,0.7333333333333333,[1.183337926864624],0.0,7.283237934112549,15,11,0,7.483441829681396,,,
43,43,43,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471430.249859,143,7.699029922485352,1,0,-1,0,0.15,0.8,[1.5825860500335693],0.0,7.699029922485352,15,12,0,7.898499011993408,,,
44,44,44,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1664471438.765929,113,3.650430917739868,1,0,-1,0,0.15,0.8,[1.083420991897583],1.0,3.650430917739868,5,4,0,3.8493809700012207,1R,16.0,1.0
45,45,45,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1664471443.515598,112,7.16743278503418,1,0,-1,0,0.0,0.6,[1.066767930984497],0.0,7.16743278503418,15,9,0,7.366029977798462,1NR,17.0,1.0
46,46,46,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471451.914918,108,3.350350141525269,1,0,1,0,0.15,0.5,[1.00008225440979],1.0,3.350350141525269,4,2,0,3.5495901107788086,1R,0.0,1.0
47,47,47,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471456.3485289,106,5.899980068206787,1,0,1,0,0.15,0.6666666666666666,[0.9666461944580078],1.0,5.899980068206787,12,8,0,6.099774122238159,1R,1.0,1.0
48,48,48,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471463.464284,107,2.5498361587524414,1,0,1,0,0.15,0.5,[0.9827990531921387],1.0,2.5498361587524414,2,1,0,2.7492308616638184,1R,2.0,1.0
49,49,49,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471467.09744,107,2.8830831050872803,1,0,1,0,0.15,0.6666666666666666,[0.9830858707427979],1.0,2.8830831050872803,3,2,0,3.0826730728149414,1R,3.0,1.0
50,50,50,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471471.0971289,108,5.566177129745483,1,0,1,0,0.15,0.7272727272727273,[0.9995031356811523],1.0,5.566177129745483,11,8,0,5.765948057174683,1R,4.0,1.0
51,51,51,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471478.5132108,147,4.933840751647949,1,0,1,0,0.15,0.7142857142857143,[1.6502857208251953],1.0,4.933840751647949,7,5,0,5.133274793624878,1R,5.0,1.0
52,52,52,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471483.929488,106,5.216079235076904,1,0,1,0,0.15,0.6,[0.9664561748504639],1.0,5.216079235076904,10,6,0,5.415931224822998,1R,6.0,1.0
53,53,53,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1664471490.395913,110,7.132761955261231,1,0,-1,0,0.0,0.7333333333333333,[1.0327839851379395],0.0,7.132761955261231,15,11,0,7.332462072372436,,,
54,54,54,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1664471499.262226,136,7.582552909851074,1,0,-1,0,0.0,0.5333333333333333,[1.4667468070983887],0.0,7.582552909851074,15,8,0,7.784532785415649,,,
55,55,55,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471507.678459,107,7.082696914672852,1,0,1,0,0.15,0.6,[0.9835538864135742],0.0,7.082696914672852,15,9,0,7.282933950424194,,,
56,56,56,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1664471516.3438442,124,7.366132974624634,1,0,-1,0,0.0,0.7333333333333333,[1.2665801048278809],0.0,7.366132974624634,15,11,0,7.565670013427734,,,
57,57,57,[1.0],1.0,0,1.0,1.0,0,[1.0],1664471524.709846,106,6.549188852310181,1,0,1,0,0.15,0.6428571428571429,[0.965939998626709],1.0,6.549188852310181,14,9,0,6.748577117919922,1R,11.0,1.0
