,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration
451,451,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013388.595499,150,2.9332549571990967,1,0,-1,0,0.15,1.0,[1.699558973312378],1.0,2.9332549571990967,1,1,0,3.934537172317505
452,452,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013394.3617501,107,4.549712181091309,1,0,-1,0,0.15,0.75,[0.9832320213317871],1.0,4.549712181091309,8,6,0,5.5495994091033936
453,453,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013402.844521,126,5.5498881340026855,1,0,-1,0,0.15,0.8,[1.2993521690368652],1.0,5.5498881340026855,10,8,0,6.5491862297058105
454,454,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013412.626935,160,4.499330997467041,1,0,-1,0,0.15,0.8,[1.866028070449829],1.0,4.499330997467041,5,4,0,5.499311923980713
455,455,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013419.877271,109,4.582824945449829,1,0,-1,0,0.15,0.875,[1.0160698890686035],1.0,4.582824945449829,8,7,0,5.582475900650024
456,456,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013428.609617,142,7.499295949935913,1,0,-1,0,0.15,0.7333333333333333,[1.5662288665771484],0.0,7.499295949935913,15,11,0,8.499181747436523
457,457,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013439.525703,123,2.8165507316589355,1,0,-1,0,0.15,0.5,[1.249950885772705],1.0,2.8165507316589355,2,1,0,3.816066026687622
458,458,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013445.6581051,108,3.2493388652801514,1,0,-1,0,0.15,0.75,[0.9994339942932129],1.0,3.2493388652801514,4,3,0,4.2491819858551025
459,459,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013452.474228,108,6.249299049377441,1,0,-1,0,0.15,0.5384615384615384,[0.9996170997619629],1.0,6.249299049377441,13,7,0,7.248934984207153
460,460,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013462.5069811,114,3.0658469200134277,1,0,-1,0,0.15,0.6666666666666666,[1.099261999130249],1.0,3.0658469200134277,3,2,0,4.065614938735962
461,461,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1682013469.123264,113,3.732973098754883,1,0,-1,0,0.15,0.8,[1.0827462673187256],1.0,3.732973098754883,5,4,0,4.732004165649414
462,462,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013476.455937,114,7.198990106582642,1,0,-1,0,0.0,0.6,[1.1000771522521973],0.0,7.198990106582642,15,9,0,8.198779106140137
463,463,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1682013487.521972,123,7.165712118148804,1,0,-1,0,0.0,0.5333333333333333,[1.2495169639587402],0.0,7.165712118148804,15,8,0,8.166056156158447
464,464,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013498.5877,134,5.38265585899353,1,0,1,0,0.15,0.5555555555555556,[1.432607889175415],1.0,5.38265585899353,9,5,0,6.382742881774902
465,465,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013507.187142,108,6.2494118213653564,1,0,1,0,0.15,0.7692307692307693,[0.9999611377716064],1.0,6.2494118213653564,13,10,0,7.249001979827881
466,466,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013517.46997,129,5.59958291053772,1,0,1,0,0.15,0.6,[1.349294900894165],1.0,5.59958291053772,10,6,0,6.598851919174194
467,467,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013526.3691862,107,3.2662360668182373,1,0,1,0,0.15,0.5,[0.9829049110412598],1.0,3.2662360668182373,4,2,0,4.266010046005249
468,468,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013533.202239,107,6.8825109004974365,1,0,1,0,0.15,0.5333333333333333,[0.9830770492553711],1.0,6.8825109004974365,15,8,0,7.882451772689819
469,469,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013543.8013718,107,3.6330058574676514,1,0,1,0,0.15,0.4,[0.9832139015197754],1.0,3.6330058574676514,5,2,0,4.6328818798065186
470,470,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013552.200516,178,3.4337880611419678,1,0,1,0,0.15,1.0,[2.1667749881744385],1.0,3.4337880611419678,1,1,0,4.433380126953125
471,471,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013558.083779,110,2.6002819538116455,1,0,1,0,0.15,1.0,[1.0328848361968994],1.0,2.6002819538116455,2,2,0,3.599565029144287
472,472,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013564.2664042,112,2.983711004257202,1,0,1,0,0.15,0.3333333333333333,[1.0667650699615479],1.0,2.983711004257202,3,1,0,3.9864869117736816
473,473,[1.0],1.0,0,1.0,1.0,0,[1.0],1682013570.733027,108,7.099208831787109,1,0,1,0,0.15,0.5333333333333333,[0.9997329711914062],0.0,7.099208831787109,15,8,0,8.098780155181885
