,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
395,"[1.0, 0.0]",1.0,0.0,1.0,"[0.01641988754272461, -1628433916.7875211]","[4.0, 0.0]","[0.6832618713378906, -1628433916.7875211]","[1.0, 0.0]",1.0,0.0,1.882822036743164,1628433917.470783,1,0,0,1,1.0,1.0,1,1,0
396,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628433920.388099]","[3.0, 0.0]","[0.582550048828125, -1628433920.388099]","[1.0, 0.0]",1.0,0.0,4.749621152877808,1628433920.970649,1,0,0,1,0.4,0.0,15,6,0
397,"[1.0, 0.0]",1.0,0.0,1.0,"[1.566845178604126, -1628433926.4703538]","[3.0, 0.0]","[1.8335652351379395, -1628433926.4703538]","[1.0, 0.0]",1.0,0.0,4.748749732971191,1628433928.303919,1,0,0,1,0.6,0.0,15,9,0
398,"[1.0, 0.0]",1.0,0.0,1.0,"[0.05005812644958496, -1628433934.071126]","[3.0, 0.0]","[0.5159931182861328, -1628433934.071126]","[1.0, 0.0]",1.0,0.0,4.74952507019043,1628433934.587119,1,0,0,1,0.4,0.0,15,6,0
399,"[1.0, 0.0]",1.0,0.0,1.0,"[2.4665048122406006, -1628433940.137161]","[2.0, 0.0]","[2.816577911376953, -1628433940.137161]","[1.0, 0.0]",1.0,0.0,4.066153049468994,1628433942.953739,1,0,0,1,0.5833333333333334,1.0,12,7,0
400,"[-1.0, 0.0]",-1.0,0.0,1.0,"[2.765907049179077, -1628434068.219239]","[1.0, 0.0]","[3.5659282207489014, -1628434068.219239]","[0.0, 0.0]",0.0,0.0,4.749638795852661,1628434071.7851672,1,0,0,-1,0.4666666666666667,0.0,15,7,0
401,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.2659130096435547, -1628434077.819175]","[1.0, 0.0]","[0.46513819694519043, -1628434077.819175]","[0.0, 0.0]",0.0,0.0,4.750280857086182,1628434078.2843132,1,0,0,1,0.7333333333333333,0.0,15,11,0
402,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.1996021270751953, -1628434083.9187899]","[1.0, 0.0]","[0.5661561489105225, -1628434083.9187899]","[1.0, 0.0]",1.0,0.0,4.749550104141235,1628434084.484946,1,0,0,-1,0.26666666666666666,0.0,15,4,0
403,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.016396045684814453, -1628434089.9857018]","[1.0, 0.0]","[0.46587228775024414, -1628434089.9857018]","[0.0, 0.0]",0.0,0.0,4.749610900878906,1628434090.451574,1,0,0,1,0.5333333333333333,0.0,15,8,0
404,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.09940099716186523, -1628434096.08597]","[1.0, 0.0]","[0.632194995880127, -1628434096.08597]","[1.0, 0.0]",1.0,0.0,2.8995919227600098,1628434096.718165,1,0,0,-1,1.0,1.0,6,6,0
405,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.2317490577697754, -1628434100.669827]","[4.0, 0.0]","[0.398273229598999, -1628434100.669827]","[1.0, 0.0]",1.0,0.0,4.649416923522949,1628434101.0681002,1,0,0,-1,0.9333333333333333,1.0,15,14,0
406,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.14824700355529785, -1628434106.769876]","[4.0, 0.0]","[0.6481289863586426, -1628434106.769876]","[1.0, 0.0]",1.0,0.0,2.2662100791931152,1628434107.418005,1,0,0,-1,0.6666666666666666,1.0,3,2,0
407,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.41579389572143555, -1628434110.852108]","[3.0, 0.0]","[0.6992309093475342, -1628434110.852108]","[1.0, 0.0]",1.0,0.0,4.749366044998169,1628434111.551339,1,0,0,-1,0.5333333333333333,0.0,15,8,0
408,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.1650552749633789, -1628434117.452102]","[3.0, 0.0]","[0.4981710910797119, -1628434117.452102]","[1.0, 0.0]",1.0,0.0,4.750362873077393,1628434117.950273,1,0,0,-1,0.4666666666666667,0.0,15,7,0
409,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.03332805633544922, -1628434123.552049]","[3.0, 0.0]","[0.8989901542663574, -1628434123.552049]","[1.0, 0.0]",1.0,0.0,3.0662200450897217,1628434124.451039,1,0,0,-1,0.5714285714285714,1.0,7,4,0
410,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.8658640384674072, -1628434128.635217]","[3.0, 0.0]","[1.1157951354980469, -1628434128.635217]","[1.0, 0.0]",1.0,0.0,4.749476909637451,1628434129.751012,1,0,0,-1,0.4666666666666667,0.0,15,7,0
