,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
91,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.44881772994995117, 0.3655557632446289]","[2.0, 3.0]","[0.9319307804107666, 0.7652308940887451]","[1.0, 1.0]",1.0,1.0,5.58282995223999,1631649393.175526,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,92,"[0, 0]","[0, 0]","[0, 0]","[12, 11]","[12, 11]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[12, 11]","[12, 11]","[0, 0]",2NRO,6NR,18.0,6
92,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.498323917388916, 0.7652239799499512]","[1.0, 2.0]","[0.7811658382415771, 0.7986350059509277]","[1.0, 1.0]",1.0,1.0,4.098497152328491,1631649400.642019,0,-1,1,-1,1.0,1.0,8,8,0,93,"[0, 0]","[0, 0]","[0, 0]","[11, 10]","[11, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[11, 10]","[11, 10]","[0, 0]",1R,1R,0.0,7
93,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.13099288940429688, 0.1810166835784912]","[4.0, 4.0]","[0.6144289970397949, 0.3643319606781006]","[1.0, 1.0]",1.0,1.0,4.6993467807769775,1631649406.541942,0,-1,1,-1,0.9090909090909092,1.0,11,10,0,94,"[0, 0]","[0, 0]","[0, 0]","[10, 9]","[10, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[10, 9]","[10, 9]","[0, 0]",1R,1R,1.0,8
94,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.36595702171325684, 2.7824621200561523]","[4.0, 4.0]","[0.7159178256988525, 2.9658310413360596]","[1.0, 1.0]",1.0,1.0,3.4828457832336426,1631649414.974924,1,-1,0,-1,0.6,1.0,5,3,0,95,"[0, 0]","[0, 0]","[0, 0]","[9, 8]","[9, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[9, 8]","[0, 0]",1R,1R,2.0,9
95,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.14847898483276367, 0.01605510711669922]","[4.0, 4.0]","[0.5983121395111084, 0.29842185974121094]","[1.0, 1.0]",1.0,1.0,5.582813024520874,1631649420.208197,1,-1,0,-1,0.6,0.0,15,9,0,96,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]",1NR,1NR,3.0,10
96,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3995389938354492, 0.03408002853393555]","[4.0, 4.0]","[0.6661272048950195, 0.26545214653015137]","[1.0, 1.0]",1.0,1.0,5.133019924163818,1631649427.3579571,0,-1,1,-1,0.6153846153846154,1.0,13,8,0,97,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]",1R,1R,4.0,11
97,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4657590389251709, 0.31589388847351074]","[4.0, 4.0]","[0.8492450714111328, 0.4992549419403076]","[1.0, 1.0]",1.0,1.0,5.582896947860718,1631649434.124515,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,98,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 5]","[6, 5]","[0, 0]",1NR,1NR,5.0,12
98,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.1320171356201172, 1.0818889141082764]","[3.0, 3.0]","[0.4817070960998535, 1.4811711311340332]","[1.0, 1.0]",1.0,1.0,5.583343982696533,1631649442.357017,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,99,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 4]","[5, 4]","[0, 0]",2NR,2NR,6.0,13
99,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.3490009307861328, 0.016485214233398438]","[2.0, 2.0]","[0.5987551212310791, 0.28220200538635254]","[1.0, 1.0]",1.0,1.0,4.499449968338013,1631649449.574058,0,-1,1,-1,0.9,1.0,10,9,0,100,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 3]","[4, 3]","[0, 0]",1R,1R,7.0,14
100,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.16547203063964844, 0.2987539768218994]","[4.0, 4.0]","[0.6154839992523193, 0.38216209411621094]","[0.0, 0.0]",0.0,0.0,5.849375009536743,1631649455.673974,0,-1,1,-1,0.8,0.0,15,12,0,101,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 2]","[3, 2]","[0, 0]",1NR,1NR,8.0,1
