,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
540,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0662758350372314,1.0,4.0,0.852311939268461,0.0,0.0,798.0,Lalo,20230215
541,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0664079189300537,1.0,5.0,0.8638195004029009,0.0,0.0,799.0,Lalo,20230215
542,1R,Low,7.0,7.0,0.0,0.0,Observer,1.7333691120147705,1.0,6.0,0.9558064516129032,0.0577419354838709,0.0,800.0,Lalo,20230215
543,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0504591464996338,1.0,8.0,0.9997735903374686,0.0,0.0,802.0,Lalo,20230215
544,1R,Low,5.0,5.0,1.0,0.0,Observer,1.0006837844848633,-1.0,9.0,1.0,0.0,0.0,803.0,Lalo,20230215
545,1R,Low,5.0,5.0,0.0,0.0,Actor,2.9333691596984863,1.0,0.0,,,0.0,809.0,Lalo,20230215
546,1R,Low,2.0,2.0,1.0,0.0,Observer,1.4500281810760498,-1.0,1.0,,,0.0,810.0,Lalo,20230215
547,1R,Low,4.0,4.0,0.0,0.0,Actor,1.6489818096160889,1.0,3.0,,,0.0,812.0,Lalo,20230215
548,1R,Low,7.0,7.0,0.0,1.0,Observer,14.749300956726074,-1.0,6.0,,,0.0,815.0,Lalo,20230215
549,1R,Low,4.0,4.0,0.0,0.0,Actor-incongruent,0.9835000038146973,1.0,0.0,,,0.0,817.0,Lalo,20230215
550,1R,Low,6.0,6.0,0.0,0.0,Observer,1.0502052307128906,1.0,1.0,,,0.0,818.0,Lalo,20230215
551,1R,Low,1.0,1.0,0.0,0.0,Actor,1.000460147857666,1.0,3.0,,,0.0,820.0,Lalo,20230215
552,1R,Low,8.0,8.0,0.0,0.0,Actor,1.000929832458496,1.0,4.0,,,0.0,821.0,Lalo,20230215
553,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0168557167053223,1.0,8.0,,,0.0,825.0,Lalo,20230215
554,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9834179878234863,1.0,9.0,,,0.0,826.0,Lalo,20230215
555,1R,Low,1.0,1.0,0.0,0.0,Actor,1.0828509330749512,1.0,11.0,,,0.0,828.0,Lalo,20230215
556,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9839580059051514,1.0,12.0,,,0.0,829.0,Lalo,20230215
557,1R,High,12.0,12.0,0.0,0.0,Observer,1.0168240070343018,1.0,13.0,,,0.0,830.0,Lalo,20230215
558,1R,Low,2.0,2.0,0.0,1.0,Observer,0.9824256896972656,-1.0,14.0,,,0.0,831.0,Lalo,20230215
559,1R,Low,6.0,6.0,1.0,0.0,Observer-incongruent,1.0667588710784912,-1.0,0.0,,,0.0,834.0,Lalo,20230215
560,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9833171367645264,1.0,2.0,,,0.0,836.0,Lalo,20230215
561,1R,Low,1.0,1.0,0.0,0.0,Actor,1.5665180683135986,1.0,3.0,,,0.0,837.0,Lalo,20230215
562,1R,Low,2.0,2.0,0.0,0.0,Observer,1.000720739364624,1.0,5.0,,,0.0,839.0,Lalo,20230215
563,1R,Low,8.0,8.0,1.0,0.0,Actor,1.1839020252227783,-1.0,6.0,,,0.0,840.0,Lalo,20230215
564,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.0504109859466553,1.0,8.0,,,0.0,842.0,Lalo,20230215
565,1R,Low,7.0,7.0,0.0,0.0,Actor-incongruent,1.050102710723877,1.0,9.0,,,0.0,843.0,Lalo,20230215
566,1R,Low,2.0,2.0,1.0,0.0,Observer,1.2005650997161865,-1.0,12.0,,,0.0,846.0,Lalo,20230215
567,1R,Low,1.0,1.0,1.0,1.0,Observer-incongruent,1.0669701099395752,1.0,13.0,,,0.0,847.0,Lalo,20230215
568,1R,Low,3.0,3.0,0.0,0.0,Actor-incongruent,0.9835841655731201,1.0,0.0,,,0.0,849.0,Lalo,20230215
569,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9828252792358398,1.0,2.0,,,0.0,851.0,Lalo,20230215
570,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9838242530822754,1.0,3.0,,,0.0,852.0,Lalo,20230215
571,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0157179832458496,1.0,4.0,,,0.0,853.0,Lalo,20230215
572,1R,Med,10.0,10.0,0.0,0.0,Actor,1.0336709022521973,1.0,6.0,,,0.0,855.0,Lalo,20230215
573,1R,Low,3.0,3.0,0.0,0.0,Observer,2.050265073776245,1.0,7.0,,,0.0,856.0,Lalo,20230215
574,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9829099178314209,1.0,10.0,,,0.0,859.0,Lalo,20230215
575,1R,Low,7.0,7.0,0.0,0.0,Observer,1.266387939453125,1.0,11.0,,,0.0,860.0,Lalo,20230215
576,1R,Med,10.0,10.0,0.0,0.0,Observer,0.9830350875854492,1.0,12.0,,,0.0,861.0,Lalo,20230215
577,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0174400806427002,1.0,13.0,,,0.0,862.0,Lalo,20230215
578,1R,Low,7.0,7.0,0.0,0.0,Actor,0.9999129772186279,1.0,14.0,,,0.0,863.0,Lalo,20230215
579,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0000650882720947,1.0,15.0,,,0.0,864.0,Lalo,20230215
580,1R,Low,2.0,2.0,0.0,0.0,Actor,2.466637134552002,1.0,16.0,,,0.0,865.0,Lalo,20230215
581,1R,Low,4.0,4.0,0.0,0.0,Observer,3.100243091583252,1.0,0.0,,,0.0,873.0,Lalo,20230215
582,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.7332987785339355,1.0,3.0,,,0.0,876.0,Lalo,20230215
583,1R,Low,3.0,3.0,0.0,1.0,Actor,0.9844357967376709,-1.0,7.0,,,0.0,880.0,Lalo,20230215
584,1R,Med,11.0,11.0,0.0,0.0,Actor,1.0163142681121826,1.0,0.0,,,0.0,885.0,Lalo,20230215
585,1R,Low,4.0,4.0,0.0,0.0,Observer,1.6168949604034424,1.0,1.0,,,0.0,886.0,Lalo,20230215
586,1R,Low,2.0,2.0,0.0,0.0,Actor,1.083162784576416,1.0,2.0,,,0.0,887.0,Lalo,20230215
587,1R,Low,8.0,8.0,0.0,0.0,Observer,0.9839348793029785,1.0,4.0,,,0.0,889.0,Lalo,20230215
588,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0334200859069824,1.0,5.0,,,0.0,890.0,Lalo,20230215
589,1R,Low,2.0,2.0,0.0,0.0,Observer,3.1335670948028564,1.0,6.0,,,0.0,891.0,Lalo,20230215
590,1R,Low,5.0,5.0,0.0,1.0,Observer,1.5009031295776367,-1.0,7.0,,,0.0,892.0,Lalo,20230215
