,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,total_polls,touched_polls,trial_aborted,trial_duration
104,104,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1671039942.40593,107,0,1,-1,-1,0.15,0.6923076923076923,0.749459981918335,1.0,13,9,0,6.234303951263428
105,105,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671039952.4216452,111,1,0,-1,-1,0.0,0.8,0.7501797676086426,0.0,15,12,0,6.949779987335205
106,106,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1671039963.254812,119,0,1,-1,-1,0.0,0.6,0.7510020732879639,0.0,15,9,0,7.283550977706909
107,107,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039974.286654,118,1,0,1,1,0.15,0.7,0.7495861053466797,1.0,10,7,0,5.417328119277954
108,108,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039983.469706,122,1,0,1,1,0.15,0.7333333333333333,0.7501258850097656,0.0,15,11,0,7.167147874832153
109,109,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671039994.351966,120,0,1,1,1,0.15,0.6,0.7498281002044678,1.0,5,3,0,3.767672061920166
110,110,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040001.551761,109,1,0,1,1,0.15,0.8,0.7494027614593506,0.0,15,12,0,6.934206008911133
111,111,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671040012.252064,109,0,1,1,-1,0.15,0.7333333333333333,0.7500057220458984,1.0,15,11,0,6.917447090148926
112,112,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671040023.8177722,163,0,1,1,-1,0.15,0.6666666666666666,0.7494430541992188,1.0,6,4,0,4.900534152984619
113,113,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040031.900046,134,0,1,1,1,0.15,1.0,0.7496929168701172,1.0,5,5,0,4.033447742462158
114,114,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040039.515844,131,1,0,1,1,0.15,0.5,0.7501869201660156,1.0,2,1,0,2.9840407371520996
115,115,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040045.765457,112,0,1,1,1,0.15,0.5,0.7502148151397705,1.0,2,1,0,2.633071184158325
116,116,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040052.0647502,118,0,1,1,1,0.15,0.8,0.7491676807403564,0.0,15,12,0,7.283600807189941
117,117,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040063.5137029,142,0,1,1,1,0.15,1.0,0.7494890689849854,1.0,1,1,0,2.833672046661377
118,118,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040069.34698,108,0,1,1,1,0.15,0.8333333333333334,0.7498219013214111,1.0,6,5,0,3.916498899459839
119,119,"[1.0, 1.0]",1.0,1.0,1.0,1.0,1.0,"[1.0, 1.0]",1671040077.4630752,144,0,1,1,1,0.15,0.8666666666666667,0.7497291564941406,1.0,15,13,0,7.550729990005493
120,120,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671040088.2970219,115,0,1,1,-1,0.15,1.0,0.7503821849822998,1.0,1,1,0,2.350260019302368
121,121,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1671040094.16297,113,0,1,1,-1,0.15,1.0,0.7505598068237305,1.0,2,2,0,2.6511826515197754
