,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
382,"[1.0, 1.0]",1.0,1.0,1.0,"[0.5158557891845703, 0.0]","[4.0, 4.0]","[0.5158557891845703, 0.4144859313964844]","[1.0, 1.0]",1.0,1.0,4.281620979309082,1628723706.7740989,1,1,0,1,0.7777777777777778,1.0,9,7,0,383,"[0, 0]","[0, 0]","[0, 0]","[9, 8]","[0, 0]","[9, 8]","[0, 0]","[0, 0]","[0, 0]","[17, 8]","[17, 0]","[0, 8]",1R,1R,1.0,5
383,"[1.0, 1.0]",1.0,1.0,1.0,"[0.6491310596466064, 0.21512722969055176]","[4.0, 4.0]","[0.6657431125640869, 0.3325920104980469]","[1.0, 1.0]",1.0,1.0,5.582262992858887,1628723712.506778,1,1,0,1,0.6,0.0,15,9,0,384,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[0, 0]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[16, 7]","[16, 0]","[0, 7]",1NR,1NR,2.0,6
384,"[1.0, 1.0]",1.0,1.0,1.0,"[1.6825079917907715, 0.4827299118041992]","[3.0, 2.0]","[1.6825079917907715, 1.415571928024292]","[1.0, 1.0]",1.0,1.0,3.2827038764953613,1628723720.606948,0,1,1,1,1.0,1.0,4,4,0,385,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[0, 0]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[15, 6]","[15, 0]","[0, 6]",1R,1R,3.0,7
385,"[1.0, 1.0]",1.0,1.0,1.0,"[0.36465907096862793, 0.0]","[4.0, 4.0]","[0.36465907096862793, 0.26468586921691895]","[1.0, 1.0]",1.0,1.0,5.582950830459595,1628723725.373413,1,1,0,1,0.6666666666666666,0.0,15,10,0,386,"[0, 0]","[0, 0]","[0, 0]","[6, 5]","[0, 0]","[6, 5]","[0, 0]","[0, 0]","[0, 0]","[14, 5]","[14, 0]","[0, 5]",1NR,1NR,4.0,8
386,"[1.0, 1.0]",1.0,1.0,1.0,"[0.4493138790130615, 0.0]","[3.0, 1.0]","[0.4493138790130615, 0.29956483840942383]","[1.0, 1.0]",1.0,1.0,5.299645185470581,1628723732.556731,1,1,0,1,0.5,1.0,14,7,0,387,"[0, 0]","[0, 0]","[0, 0]","[5, 4]","[0, 0]","[5, 4]","[0, 0]","[0, 0]","[0, 0]","[13, 4]","[13, 0]","[0, 4]",1R,1R,5.0,9
387,"[1.0, 1.0]",1.0,1.0,1.0,"[1.0162160396575928, 0.2823648452758789]","[4.0, 4.0]","[1.0162160396575928, 0.49994707107543945]","[1.0, 1.0]",1.0,1.0,3.0999929904937744,1628723739.723247,1,1,0,1,1.0,1.0,3,3,0,388,"[0, 0]","[0, 0]","[0, 0]","[4, 3]","[0, 0]","[4, 3]","[0, 0]","[0, 0]","[0, 0]","[12, 3]","[12, 0]","[0, 3]",1R,1R,6.0,10
388,"[1.0, 1.0]",1.0,1.0,1.0,"[0.8152868747711182, 0.1154031753540039]","[4.0, 4.0]","[0.8152868747711182, 0.29845595359802246]","[1.0, 1.0]",1.0,1.0,5.849514007568359,1628723744.606737,0,1,1,1,0.8,0.0,15,12,0,389,"[0, 0]","[0, 0]","[0, 0]","[3, 2]","[0, 0]","[3, 2]","[0, 0]","[0, 0]","[0, 0]","[11, 2]","[11, 0]","[0, 2]",1NR,1NR,7.0,11
389,"[1.0, 1.0]",1.0,1.0,1.0,"[0.16490387916564941, 0.08159899711608887]","[3.0, 1.0]","[0.16490387916564941, 0.4319899082183838]","[1.0, 1.0]",1.0,1.0,5.849480152130127,1628723751.806708,0,1,1,1,0.6666666666666666,0.0,15,10,0,390,"[0, 1]","[0, 0]","[0, 1]","[2, 1]","[0, 0]","[2, 1]","[0, 1]","[0, 0]","[0, 1]","[10, 1]","[10, 0]","[0, 1]",2NR,2NR,8.0,12
390,"[1.0, -1.0]",1.0,-1.0,-1.0,"[0.6335310935974121, 0.01665019989013672]","[2.0, 1.0]","[0.6335310935974121, 0.28338193893432617]","[0.0, 1.0]",0.0,1.0,3.4995858669281006,1628723759.07328,0,1,1,-1,1.0,1.0,5,5,0,391,"[1, 0]","[0, 0]","[1, 0]","[1, 8]","[0, 8]","[1, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 8]","[9, 8]","[0, 0]",1R,1R,0.0,1
391,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.29944801330566406, 0.08220911026000977]","[4.0, 4.0]","[0.31531691551208496, 0.3652231693267822]","[1.0, 1.0]",1.0,1.0,2.700386047363281,1628723763.905816,1,-1,0,-1,1.0,1.0,1,1,0,392,"[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 7]","[8, 7]","[0, 0]",1R,1R,1.0,2
392,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.28128886222839355, 0.2645988464355469]","[4.0, 4.0]","[0.2979271411895752, 0.3647279739379883]","[1.0, 1.0]",1.0,1.0,5.582885980606079,1628723767.989856,1,-1,0,-1,0.9333333333333332,0.0,15,14,0,393,"[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 6]","[7, 6]","[0, 0]",1NR,1NR,2.0,3
