,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
406,1R,Med,11.0,11.0,0.0,0.0,self,0.99922776222229,1.0,2.0,565.0,Offenbach,20230314
407,1R,Low,1.0,1.0,0.0,0.0,self,1.1164827346801758,1.0,3.0,566.0,Offenbach,20230314
408,1R,High,12.0,12.0,0.0,0.0,self,0.9993231296539307,1.0,4.0,567.0,Offenbach,20230314
409,1R,Med,10.0,10.0,0.0,0.0,self,0.9840798377990723,1.0,5.0,568.0,Offenbach,20230314
410,1R,Low,3.0,3.0,0.0,0.0,self,1.015821933746338,1.0,6.0,569.0,Offenbach,20230314
411,1R,Low,8.0,8.0,0.0,0.0,self,1.0329139232635498,1.0,7.0,570.0,Offenbach,20230314
412,1R,Low,1.0,1.0,0.0,0.0,self,0.9990508556365967,1.0,8.0,571.0,Offenbach,20230314
413,1R,Med,9.0,9.0,0.0,0.0,self,0.9998552799224854,1.0,9.0,572.0,Offenbach,20230314
414,1R,Med,9.0,9.0,0.0,0.0,self,0.9841647148132324,1.0,0.0,574.0,Offenbach,20230314
415,1R,Low,6.0,6.0,0.0,0.0,self,1.0003299713134766,1.0,1.0,575.0,Offenbach,20230314
416,1R,High,12.0,12.0,0.0,0.0,self,1.0159010887145996,1.0,2.0,576.0,Offenbach,20230314
417,1R,Low,4.0,4.0,0.0,0.0,self,0.9837460517883301,1.0,3.0,577.0,Offenbach,20230314
418,1R,Low,1.0,1.0,0.0,0.0,self,1.016800880432129,1.0,11.0,585.0,Offenbach,20230314
419,1R,Low,5.0,5.0,0.0,0.0,self,1.015956163406372,1.0,12.0,586.0,Offenbach,20230314
420,1R,Low,3.0,3.0,0.0,0.0,self,0.9830079078674316,1.0,13.0,587.0,Offenbach,20230314
421,1R,Low,6.0,6.0,0.0,0.0,self,0.9830961227416992,1.0,14.0,588.0,Offenbach,20230314
422,1R,Low,1.0,1.0,0.0,0.0,self,0.983971118927002,1.0,15.0,589.0,Offenbach,20230314
423,1R,Low,1.0,1.0,0.0,0.0,self,0.9833850860595703,1.0,17.0,591.0,Offenbach,20230314
424,1R,Med,9.0,9.0,0.0,1.0,self,1.149352788925171,-1.0,18.0,592.0,Offenbach,20230314
425,1R,Med,9.0,9.0,0.0,0.0,self,1.0504419803619385,1.0,0.0,594.0,Offenbach,20230314
426,1R,Low,5.0,5.0,0.0,0.0,self,0.9829549789428711,1.0,2.0,596.0,Offenbach,20230314
427,1R,Low,6.0,6.0,0.0,0.0,self,0.9824550151824951,1.0,3.0,597.0,Offenbach,20230314
428,1R,Low,6.0,6.0,0.0,0.0,self,0.982666015625,1.0,4.0,598.0,Offenbach,20230314
429,1R,Low,2.0,2.0,0.0,0.0,self,1.050124168395996,1.0,6.0,600.0,Offenbach,20230314
430,1R,Low,6.0,6.0,0.0,0.0,self,1.0488231182098389,1.0,7.0,601.0,Offenbach,20230314
431,1R,Low,8.0,8.0,0.0,0.0,self,1.0503578186035156,1.0,8.0,602.0,Offenbach,20230314
432,1R,Med,9.0,9.0,0.0,1.0,self,0.9998378753662109,-1.0,9.0,603.0,Offenbach,20230314
433,1R,Low,5.0,5.0,0.0,0.0,self,1.0666608810424805,1.0,0.0,605.0,Offenbach,20230314
434,1R,Med,9.0,9.0,0.0,0.0,self,1.0167019367218018,1.0,2.0,607.0,Offenbach,20230314
435,1R,Low,6.0,6.0,0.0,0.0,self,0.9828910827636719,1.0,3.0,608.0,Offenbach,20230314
436,1R,Low,2.0,2.0,0.0,0.0,self,0.983144998550415,1.0,4.0,609.0,Offenbach,20230314
437,1R,Low,2.0,2.0,0.0,0.0,self,1.4151179790496826,1.0,6.0,611.0,Offenbach,20230314
438,1R,Med,10.0,10.0,0.0,0.0,self,0.9823217391967773,1.0,0.0,618.0,Offenbach,20230314
439,1R,Low,3.0,3.0,0.0,0.0,self,0.9829139709472656,1.0,1.0,619.0,Offenbach,20230314
440,1R,Low,1.0,1.0,0.0,0.0,self,0.982161283493042,1.0,2.0,620.0,Offenbach,20230314
441,1R,Low,3.0,3.0,0.0,0.0,self,0.9824719429016113,1.0,3.0,621.0,Offenbach,20230314
442,1R,Low,1.0,1.0,0.0,0.0,self,0.9994618892669678,1.0,4.0,622.0,Offenbach,20230314
443,1R,Low,6.0,6.0,0.0,0.0,self,1.0672330856323242,1.0,5.0,623.0,Offenbach,20230314
444,1R,Low,8.0,8.0,0.0,0.0,self,1.4319031238555908,1.0,6.0,624.0,Offenbach,20230314
445,1R,Low,4.0,4.0,0.0,0.0,self,0.9829699993133545,1.0,7.0,625.0,Offenbach,20230314
446,1R,Low,1.0,1.0,0.0,0.0,self,0.9824419021606445,1.0,10.0,628.0,Offenbach,20230314
447,1R,Med,10.0,10.0,0.0,0.0,self,0.9826979637145996,1.0,11.0,629.0,Offenbach,20230314
448,1R,Low,6.0,6.0,0.0,0.0,self,1.0002052783966064,1.0,12.0,630.0,Offenbach,20230314
449,1R,Low,4.0,4.0,0.0,0.0,self,1.1833040714263916,1.0,13.0,631.0,Offenbach,20230314
450,1R,Low,1.0,1.0,0.0,0.0,self,0.9821569919586182,1.0,14.0,632.0,Offenbach,20230314
451,1R,Low,4.0,4.0,0.0,1.0,self,0.9827392101287842,-1.0,15.0,633.0,Offenbach,20230314
452,1R,Low,2.0,2.0,0.0,0.0,self,0.983950138092041,1.0,0.0,636.0,Offenbach,20230314
453,1R,High,12.0,12.0,0.0,0.0,self,1.0000030994415283,1.0,1.0,637.0,Offenbach,20230314
454,1R,Med,9.0,9.0,0.0,0.0,self,1.0667829513549805,1.0,2.0,638.0,Offenbach,20230314
455,1R,Low,7.0,7.0,0.0,0.0,self,0.9834091663360596,1.0,3.0,639.0,Offenbach,20230314
456,1R,Med,10.0,10.0,0.0,0.0,self,1.1836440563201904,1.0,4.0,640.0,Offenbach,20230314
457,1R,Low,1.0,1.0,0.0,0.0,self,1.2661828994750977,1.0,5.0,641.0,Offenbach,20230314
458,1R,Low,2.0,2.0,0.0,0.0,self,1.083467960357666,1.0,6.0,642.0,Offenbach,20230314
459,1R,Low,4.0,4.0,0.0,0.0,self,1.0325169563293457,1.0,7.0,643.0,Offenbach,20230314
460,1R,Low,7.0,7.0,0.0,1.0,self,1.0491809844970703,-1.0,8.0,644.0,Offenbach,20230314
461,1R,Low,5.0,5.0,0.0,0.0,self,1.0330982208251953,1.0,0.0,647.0,Offenbach,20230314
462,1R,Low,2.0,2.0,0.0,0.0,self,1.0838720798492432,1.0,1.0,648.0,Offenbach,20230314
463,1R,Low,3.0,3.0,0.0,0.0,self,1.0001220703125,1.0,2.0,649.0,Offenbach,20230314
464,1R,Low,2.0,2.0,0.0,0.0,self,0.9828619956970215,1.0,3.0,650.0,Offenbach,20230314
465,1R,Low,8.0,8.0,0.0,0.0,self,1.049454927444458,1.0,4.0,651.0,Offenbach,20230314
466,1R,Low,4.0,4.0,0.0,0.0,self,0.9841129779815674,1.0,5.0,652.0,Offenbach,20230314
467,1R,Low,1.0,1.0,0.0,0.0,self,0.9987049102783203,1.0,6.0,653.0,Offenbach,20230314
468,1R,Low,5.0,5.0,0.0,0.0,self,1.200509786605835,1.0,7.0,654.0,Offenbach,20230314
469,1R,Low,3.0,3.0,0.0,0.0,self,0.9828410148620605,1.0,8.0,655.0,Offenbach,20230314
470,1R,Low,1.0,1.0,0.0,1.0,self,0.9997577667236328,-1.0,9.0,656.0,Offenbach,20230314
471,1R,Low,8.0,8.0,0.0,0.0,self,1.050159215927124,1.0,0.0,660.0,Offenbach,20230314
472,1R,Low,1.0,1.0,0.0,0.0,self,1.0498790740966797,1.0,1.0,661.0,Offenbach,20230314
473,1R,Low,5.0,5.0,0.0,0.0,self,0.9828591346740723,1.0,2.0,662.0,Offenbach,20230314
474,1R,Low,1.0,1.0,0.0,0.0,self,0.9827592372894287,1.0,3.0,663.0,Offenbach,20230314
475,1R,Low,6.0,6.0,0.0,0.0,self,1.016207218170166,1.0,7.0,667.0,Offenbach,20230314
476,1R,Med,9.0,9.0,0.0,0.0,self,1.0493578910827637,1.0,8.0,668.0,Offenbach,20230314
477,1R,Low,5.0,5.0,0.0,0.0,self,0.9827132225036621,1.0,9.0,669.0,Offenbach,20230314
478,1R,Low,1.0,1.0,0.0,1.0,self,0.9830751419067383,-1.0,10.0,670.0,Offenbach,20230314
479,1R,Low,4.0,4.0,0.0,0.0,self,0.9836750030517578,1.0,0.0,672.0,Offenbach,20230314
480,1R,Low,3.0,3.0,0.0,0.0,self,1.0165128707885742,1.0,1.0,673.0,Offenbach,20230314
481,1R,Med,10.0,10.0,0.0,0.0,self,1.0173399448394775,1.0,2.0,674.0,Offenbach,20230314
482,1R,Low,1.0,1.0,0.0,0.0,self,1.066180944442749,1.0,4.0,676.0,Offenbach,20230314
483,1R,Low,5.0,5.0,0.0,0.0,self,0.9837238788604736,1.0,5.0,677.0,Offenbach,20230314
484,1R,Low,3.0,3.0,0.0,0.0,self,1.0158989429473877,1.0,6.0,678.0,Offenbach,20230314
485,1R,Low,1.0,1.0,0.0,0.0,self,0.9817678928375244,1.0,7.0,679.0,Offenbach,20230314
