,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
523,1R,Low,1.0,1.0,0.0,0.0,Observer,0.999539852142334,1.0,1.0,817.0,Lalo,20230828
524,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0495309829711914,1.0,2.0,818.0,Lalo,20230828
525,1R,Med,10.0,10.0,0.0,0.0,Observer,1.1161620616912842,1.0,3.0,819.0,Lalo,20230828
526,1R,Low,1.0,1.0,0.0,0.0,Observer,1.016935110092163,1.0,4.0,820.0,Lalo,20230828
527,1R,Med,9.0,9.0,0.0,0.0,Observer,1.9329140186309814,1.0,5.0,821.0,Lalo,20230828
528,1R,Low,8.0,8.0,0.0,0.0,Observer-incongruent,0.9835629463195801,1.0,7.0,823.0,Lalo,20230828
529,1R,Low,2.0,2.0,0.0,0.0,Observer,1.000257968902588,1.0,8.0,824.0,Lalo,20230828
530,1R,Med,11.0,11.0,0.0,0.0,Observer,0.9993438720703125,1.0,9.0,825.0,Lalo,20230828
531,1R,Low,3.0,3.0,0.0,1.0,Observer,1.0163509845733643,-1.0,10.0,826.0,Lalo,20230828
532,1R,Low,3.0,3.0,0.0,0.0,Actor,1.2330162525177002,1.0,0.0,828.0,Lalo,20230828
533,1R,Med,11.0,11.0,0.0,0.0,Observer,1.0828149318695068,1.0,1.0,829.0,Lalo,20230828
534,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0170340538024902,1.0,2.0,830.0,Lalo,20230828
535,1R,Low,3.0,3.0,0.0,0.0,Observer,0.9991178512573242,1.0,3.0,831.0,Lalo,20230828
536,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9991211891174316,1.0,4.0,832.0,Lalo,20230828
537,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9832072257995605,1.0,5.0,833.0,Lalo,20230828
538,1R,Low,7.0,7.0,0.0,0.0,Observer,1.482470989227295,1.0,6.0,834.0,Lalo,20230828
539,1R,Med,9.0,9.0,0.0,0.0,Actor,0.9825820922851562,1.0,7.0,835.0,Lalo,20230828
540,1R,Med,11.0,11.0,0.0,0.0,Observer,1.0660591125488281,1.0,8.0,836.0,Lalo,20230828
541,1R,Low,1.0,1.0,0.0,1.0,Observer,0.9828979969024658,-1.0,9.0,837.0,Lalo,20230828
542,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0159649848937988,1.0,0.0,840.0,Lalo,20230828
543,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9830739498138428,1.0,1.0,841.0,Lalo,20230828
544,1R,Med,11.0,11.0,0.0,0.0,Actor,1.0169169902801514,1.0,4.0,844.0,Lalo,20230828
545,1R,Med,10.0,10.0,0.0,0.0,Actor,1.0508270263671875,1.0,5.0,845.0,Lalo,20230828
546,1R,Med,10.0,10.0,0.0,0.0,Actor,0.9838471412658691,1.0,6.0,846.0,Lalo,20230828
547,1R,Low,4.0,4.0,0.0,0.0,Observer-incongruent,1.0995206832885742,1.0,8.0,848.0,Lalo,20230828
