,trial_idx,trial_start_time,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,difficulty,trial_aborted,trial_duration,date_time,trial_num,switched_self,n_pre_switch_self,switched_actor,n_pre_switch_actor,history,alt_history,pos_in_block,pos_in_block_obj
26,26,1693242863.125914,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1693242865.261696,128,5.233198881149292,0,1,-1,1,0.15,0.8888888888888888,"[1.3329339027404785, 0.9831969738006592]",1.0,5.233198881149292,9,8,1.139348343708982,0,6.232458114624023,2023_08_28_13_14_22,27,"[0, 0]","[2, 8]","[1, 0]","[1, 11]",1R,1R,2.0,4
27,27,1693242872.025701,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1693242873.827628,108,5.900021076202393,0,1,-1,1,0.15,1.0,"[0.9822790622711182, 0.9990558624267578]",1.0,5.900021076202393,12,12,1.1756309892211607,0,6.899904727935791,2023_08_28_13_14_30,28,"[1, 0]","[1, 7]","[0, 0]","[6, 10]",1R,1R,3.0,5
28,28,1693242881.6252348,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242883.642722,121,2.8331620693206787,1,0,-1,-1,0.15,0.5,"[1.215900182723999, 1.0159261226654053]",1.0,2.8331620693206787,2,1,2.1555616271238525,0,3.8494131565094,2023_08_28_13_14_40,29,"[0, 0]","[5, 6]","[0, 0]","[5, 9]",1R,1R,4.0,6
29,29,1693242888.057439,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242890.575283,151,5.350275993347168,1,0,-1,-1,0.15,0.75,"[1.7170517444610596, 1.0327448844909668]",1.0,5.350275993347168,8,6,1.996447797961124,0,6.350460767745972,2023_08_28_13_14_46,30,"[0, 0]","[4, 5]","[0, 0]","[4, 8]",1R,1R,5.0,7
30,30,1693242897.089828,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242900.591372,210,8.683264017105103,0,1,-1,-1,0.15,0.6666666666666666,"[2.7006919384002686, 0.9831750392913818]",1.0,8.683264017105103,15,10,2.2050116479491946,0,9.68271017074585,2023_08_28_13_14_56,31,"[0, 0]","[3, 4]","[0, 0]","[3, 7]",1R,1R,6.0,8
31,31,1693242909.606863,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242911.8906329,136,5.065999984741211,1,0,-1,-1,0.15,0.625,"[1.4826290607452393, 0.9991030693054199]",1.0,5.065999984741211,8,5,1.837818066188733,0,6.064858913421631,2023_08_28_13_15_08,32,"[0, 0]","[2, 3]","[0, 0]","[2, 6]",1R,1R,7.0,9
32,32,1693242918.321732,"[-1.0, -1.0]",-1.0,-1.0,-1.0,1.0,1.0,"[1.0, 1.0]",1693242920.8400168,151,7.616238832473755,1,0,-1,-1,0.15,0.7333333333333333,"[1.7165579795837402, 1.0166919231414795]",1.0,7.616238832473755,15,11,2.1209710021458035,0,8.617618083953857,2023_08_28_13_15_17,33,"[1, 0]","[1, 2]","[1, 0]","[1, 5]",1R,1R,8.0,10
33,33,1693242929.720853,"[1.0, -1.0]",1.0,-1.0,-1.0,-1.0,1.0,"[-1.0, 1.0]",1693242932.3566878,158,7.949295043945312,1,0,1,-1,0.0,0.7333333333333333,"[1.8339109420776367, 0.9837899208068848]",0.0,7.949295043945312,15,11,1.6597699498967684,0,8.949733018875122,2023_08_28_13_15_28,34,"[0, 1]","[2, 1]","[0, 0]","[2, 4]",1NRO,1NR,9.0,11
34,34,1693242941.453802,"[1.0, 1.0]",1.0,1.0,-1.0,-1.0,-1.0,"[-1.0, -1.0]",1693242943.254637,108,6.98288106918335,1,0,1,1,0.0,0.7333333333333333,"[0.9827301502227783, 0.9993290901184082]",0.0,6.98288106918335,15,11,1.8897095231862684,0,7.982167243957519,2023_08_28_13_15_40,35,"[1, 0]","[1, 2]","[1, 0]","[1, 3]",2NRO,2NR,10.0,12
35,35,1693242952.186087,"[-1.0, 1.0]",-1.0,1.0,-1.0,1.0,-1.0,"[1.0, -1.0]",1693242954.221368,122,2.486536264419556,1,0,-1,1,0.15,1.0,"[1.2343223094940186, 0.9998672008514404]",1.0,2.486536264419556,1,1,1.8940564201172612,0,3.634911060333252,2023_08_28_13_15_51,36,"[0, 1]","[3, 1]","[0, 0]","[3, 2]",1R,1R,11.0,13
36,36,1693242958.386107,"[-1.0, -1.0]",-1.0,-1.0,1.0,-1.0,-1.0,"[-1.0, -1.0]",1693242960.187242,108,6.917449235916138,1,0,-1,-1,0.0,0.8666666666666667,"[0.9823567867279053, 0.9991810321807861]",0.0,6.917449235916138,15,13,1.727817152400954,0,7.916562080383301,2023_08_28_13_15_57,37,"[0, 1]","[2, 1]","[0, 1]","[2, 1]",1NR,1NR,12.0,1
37,37,1693242969.0351071,"[-1.0, 1.0]",-1.0,1.0,1.0,-1.0,1.0,"[-1.0, 1.0]",1693242972.370305,200,8.449649810791016,1,0,-1,1,0.0,0.8666666666666667,"[2.5340988636016846, 1.082939863204956]",0.0,8.449649810791016,15,13,1.4854886518738255,0,9.449575901031494,2023_08_28_13_16_07,38,"[1, 0]","[1, 15]","[1, 1]","[1, 1]",2NR,2NR,13.0,2
