,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,trial_num,switched_self,switched_self_l2r,switched_self_r2l,n_pre_switch_self,n_pre_switch_self_l2r,n_pre_switch_self_r2l,switched_actor,switched_actor_l2r,switched_actor_r2l,n_pre_switch_actor,n_pre_switch_actor_l2r,n_pre_switch_actor_r2l,history,alt_history,pos_in_block,pos_in_block_obj
90,"[-1.0, 1.0]",-1.0,1.0,-1.0,"[0.4148390293121338, 0.5155251026153564]","[2.0, 2.0]","[1.2314741611480713, 1.665614128112793]","[1.0, 0.0]",1.0,0.0,5.84943699836731,1632509011.567275,0,-1,1,1,0.6,0.0,15,9,0,91,"[0, 1]","[0, 0]","[0, 1]","[10, 1]","[10, 0]","[0, 1]","[1, 1]","[0, 0]","[1, 1]","[1, 1]","[0, 0]","[1, 1]",3NR,3NR,10.0,3
91,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.30028200149536133, 0.33353114128112793]","[2.0, 3.0]","[0.6167831420898438, 0.6167831420898438]","[1.0, 1.0]",1.0,1.0,3.299690008163452,1632509019.10031,1,-1,0,-1,1.0,1.0,4,4,0,92,"[0, 0]","[0, 0]","[0, 0]","[9, 10]","[9, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[9, 10]","[9, 10]","[0, 0]",1R,1R,0.0,4
92,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[2.7147979736328125, 0.2641639709472656]","[4.0, 4.0]","[3.314710855484009, 0.5808987617492676]","[1.0, 1.0]",1.0,1.0,5.582480192184448,1632509026.900251,1,-1,0,-1,0.7333333333333333,0.0,15,11,0,93,"[0, 0]","[0, 0]","[0, 0]","[8, 9]","[8, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[8, 9]","[8, 9]","[0, 0]",1NR,1NR,1.0,5
93,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.2650790214538574, 0.2816600799560547]","[4.0, 4.0]","[1.2655069828033447, 0.5981340408325195]","[1.0, 1.0]",1.0,1.0,2.899637222290039,1632509034.9501429,1,-1,0,-1,1.0,1.0,2,2,0,94,"[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 8]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[7, 8]","[7, 8]","[0, 0]",1R,1R,2.0,6
94,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.09924006462097168, 0.34817004203796387]","[4.0, 4.0]","[0.4820899963378906, 0.747870922088623]","[1.0, 1.0]",1.0,1.0,4.700388193130493,1632509039.51588,1,-1,0,-1,0.8181818181818182,1.0,11,9,0,95,"[0, 0]","[0, 0]","[0, 0]","[6, 7]","[6, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 7]","[6, 7]","[0, 0]",1R,1R,3.0,7
95,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.4987070560455322, 0.19880414009094238]","[4.0, 4.0]","[1.415295124053955, 0.6320400238037109]","[1.0, 1.0]",1.0,1.0,5.548989772796631,1632509046.766633,0,-1,1,-1,0.6666666666666666,1.0,15,10,0,96,"[0, 0]","[0, 0]","[0, 0]","[5, 6]","[5, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[5, 6]","[5, 6]","[0, 0]",1R,1R,4.0,8
96,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.18222880363464355, 0.34882473945617676]","[3.0, 4.0]","[0.4654538631439209, 0.5988726615905762]","[1.0, 1.0]",1.0,1.0,3.732769012451172,1632509054.0499358,1,-1,0,-1,0.6666666666666666,1.0,6,4,0,97,"[0, 0]","[0, 0]","[0, 0]","[4, 5]","[4, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 5]","[4, 5]","[0, 0]",1R,1R,5.0,9
97,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.30008792877197266, 0.3501620292663574]","[3.0, 4.0]","[0.6834399700164795, 0.6500849723815918]","[1.0, 1.0]",1.0,1.0,5.582799911499023,1632509059.199852,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,98,"[0, 0]","[0, 0]","[0, 0]","[3, 4]","[3, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[3, 4]","[3, 4]","[0, 0]",1NR,1NR,6.0,10
98,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[0.36598706245422363, 0.36598706245422363]","[3.0, 4.0]","[0.8658778667449951, 0.7658290863037109]","[1.0, 1.0]",1.0,1.0,5.849523067474365,1632509066.466379,0,-1,1,-1,0.7333333333333333,0.0,15,11,0,99,"[0, 0]","[0, 0]","[0, 0]","[2, 3]","[2, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 3]","[2, 3]","[0, 0]",2NR,2NR,7.0,11
99,"[-1.0, -1.0]",-1.0,-1.0,1.0,"[0.6832149028778076, 0.3663978576660156]","[2.0, 3.0]","[1.132929801940918, 0.6832149028778076]","[0.0, 0.0]",0.0,0.0,5.849830150604248,1632509074.315867,0,-1,1,-1,0.8666666666666667,0.0,15,13,0,100,"[1, 0]","[1, 0]","[0, 0]","[1, 2]","[1, 2]","[0, 0]","[1, 0]","[1, 0]","[0, 0]","[1, 2]","[1, 2]","[0, 0]",3NR,3NR,8.0,1
