,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,Attention,Attention_control,Confidence,trial_idx,subject,date
496,1R,Low,7.0,7.0,0.0,0.0,Observer,1.067124366760254,1.0,5.0,0.794599400618575,0.1150078079842674,0.0,773.0,Offenbach,20230210
497,1R,Low,3.0,3.0,0.0,0.0,Observer,1.2164080142974854,1.0,6.0,0.6150140605272763,0.1424393525156124,0.0,774.0,Offenbach,20230210
498,1R,Med,11.0,11.0,1.0,0.0,Observer,0.9993479251861572,-1.0,7.0,0.7204613975022256,0.2963272628235195,0.0,775.0,Offenbach,20230210
499,1R,Med,10.0,10.0,0.0,0.0,Actor,1.1993389129638672,1.0,0.0,1.0,0.0008396305625524,0.0,779.0,Offenbach,20230210
500,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0833489894866943,1.0,1.0,0.8843066243788261,0.0485601903560627,0.0,780.0,Offenbach,20230210
501,1R,Low,2.0,2.0,0.0,0.0,Actor,1.3336372375488281,1.0,2.0,0.9990544895350144,0.0,0.0,781.0,Offenbach,20230210
502,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9833941459655762,1.0,7.0,0.9999581374465516,0.0012373167301875,0.0,786.0,Offenbach,20230210
503,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0001108646392822,1.0,8.0,1.0,0.0,0.0,787.0,Offenbach,20230210
504,1R,Low,3.0,3.0,0.0,0.0,Actor,1.0169389247894287,1.0,9.0,1.0,0.0,0.0,788.0,Offenbach,20230210
505,1R,Low,3.0,3.0,0.0,1.0,Observer,1.0666649341583252,-1.0,10.0,0.4824905982595207,0.5280085792274001,0.0,789.0,Offenbach,20230210
506,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9827930927276611,1.0,0.0,1.0,0.0,0.0,794.0,Offenbach,20230210
507,1R,Low,3.0,3.0,0.0,0.0,Actor,1.000115156173706,1.0,1.0,1.0,0.0,0.0,795.0,Offenbach,20230210
508,1R,High,12.0,12.0,0.0,0.0,Observer,1.4830029010772705,1.0,2.0,0.6747975450509237,0.1193647454225766,0.0,796.0,Offenbach,20230210
509,1R,Low,2.0,2.0,0.0,0.0,Actor,0.9999322891235352,1.0,3.0,1.0,0.0,0.0,797.0,Offenbach,20230210
510,1R,Low,2.0,2.0,0.0,0.0,Observer,1.8667137622833252,1.0,5.0,0.7861692447679709,0.0,0.0,799.0,Offenbach,20230210
511,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0001919269561768,1.0,6.0,0.774747084092032,0.371241486262339,0.0,800.0,Offenbach,20230210
512,1R,Low,6.0,6.0,0.0,0.0,Observer,0.9998042583465576,1.0,7.0,0.5323329760628795,0.4115755627009646,0.0,801.0,Offenbach,20230210
513,1R,Low,3.0,3.0,0.0,0.0,Actor,1.03312087059021,1.0,8.0,1.0,0.0,0.0,802.0,Offenbach,20230210
514,1R,Low,1.0,1.0,1.0,1.0,Observer-incongruent,0.9989011287689209,1.0,10.0,0.4922048997772829,0.5612472160356348,0.0,804.0,Offenbach,20230210
515,1R,Med,9.0,9.0,0.0,0.0,Actor-incongruent,1.0005779266357422,1.0,0.0,1.0,0.0,0.0,805.0,Offenbach,20230210
516,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9832642078399658,1.0,2.0,0.9999959514295892,0.0,0.0,807.0,Offenbach,20230210
517,1R,Low,8.0,8.0,0.0,0.0,Actor,0.9835379123687744,1.0,3.0,0.999860344445126,0.0,0.0,808.0,Offenbach,20230210
518,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9828031063079834,1.0,4.0,1.0,0.0,0.0,809.0,Offenbach,20230210
519,1R,Low,3.0,3.0,0.0,0.0,Actor,0.9821398258209229,1.0,5.0,0.9999433734008428,0.0,0.0,810.0,Offenbach,20230210
520,1R,Low,1.0,1.0,0.0,0.0,Actor-incongruent,1.3830022811889648,1.0,0.0,0.99985625358105,0.0,0.0,819.0,Offenbach,20230210
521,1R,Low,4.0,4.0,0.0,0.0,Actor,1.1999170780181885,1.0,1.0,1.0,0.0,0.0,820.0,Offenbach,20230210
522,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1337292194366455,1.0,2.0,1.0,0.0,0.0,821.0,Offenbach,20230210
523,1R,Low,3.0,3.0,0.0,0.0,Actor,1.2165520191192627,1.0,3.0,0.9996643159349043,0.0,0.0,822.0,Offenbach,20230210
524,1R,Low,4.0,4.0,0.0,0.0,Actor,1.1499300003051758,1.0,4.0,1.0,0.0,0.0,823.0,Offenbach,20230210
525,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9832687377929688,1.0,5.0,0.999640652036882,0.0,0.0,824.0,Offenbach,20230210
526,1R,Low,4.0,4.0,0.0,0.0,Observer,1.0334961414337158,1.0,6.0,0.7102931152010906,0.4164962508520791,0.0,825.0,Offenbach,20230210
527,1R,Low,7.0,7.0,0.0,0.0,Observer,1.1665127277374268,1.0,8.0,0.8038790353424914,0.3134896238114117,0.0,827.0,Offenbach,20230210
528,1R,Low,1.0,1.0,0.0,0.0,Observer,1.1995091438293457,1.0,9.0,0.9998519533411774,0.0,0.0,828.0,Offenbach,20230210
529,1R,Low,1.0,1.0,0.0,1.0,Actor,0.9835660457611084,-1.0,10.0,1.0,0.0,0.0,829.0,Offenbach,20230210
530,1R,Med,9.0,9.0,0.0,0.0,Actor-incongruent,0.9827160835266113,1.0,0.0,0.9999864528761382,0.0,0.0,831.0,Offenbach,20230210
531,1R,Low,2.0,2.0,0.0,0.0,Actor,1.133411169052124,1.0,1.0,0.9995168575386748,0.0,0.0,832.0,Offenbach,20230210
532,1R,Low,5.0,5.0,0.0,0.0,Observer,1.0160629749298096,1.0,2.0,0.521240131933277,0.4544310252396619,0.0,833.0,Offenbach,20230210
533,1R,Low,4.0,4.0,0.0,0.0,Actor,0.9837713241577148,1.0,3.0,0.9999854180696436,0.0,0.0,834.0,Offenbach,20230210
534,1R,Low,3.0,3.0,0.0,0.0,Actor,1.4333198070526123,1.0,4.0,1.0,0.0,0.0,835.0,Offenbach,20230210
535,1R,Low,1.0,1.0,0.0,0.0,Observer,1.565840721130371,1.0,6.0,0.5693162068416139,0.3264427791523016,0.0,837.0,Offenbach,20230210
536,1R,Low,2.0,2.0,1.0,0.0,Observer-incongruent,0.9823110103607178,-1.0,8.0,0.3835952441479154,0.5858711211095241,0.0,839.0,Offenbach,20230210
